#dispelling

#Lizardman Rituals Mechanics. 
loremaster.3;Magic Lore;;;;;;;;;;;;x
loremaster.3_desc;Choose your Magic Lore;;;;;;;;;;;;x
loremaster.3a;High Magic;;;;;;;;;;;;x
loremaster.3b;Lore of Heavens;;;;;;;;;;;;x
loremaster.3c;Lore of Beasts;;;;;;;;;;;;x
loremaster.3d;Next;;;;;;;;;;;;x

loremaster.4;Magic Lore;;;;;;;;;;;;x
loremaster.4_desc;Choose your Magic Lore;;;;;;;;;;;;x
loremaster.4a;Lore of Fire;;;;;;;;;;;;x
loremaster.4b;Lore of Metal;;;;;;;;;;;;x
loremaster.4c;Lore of Life;;;;;;;;;;;;x
loremaster.4d;Next;;;;;;;;;;;;x

loremaster.5;Magic Lore;;;;;;;;;;;;x
loremaster.5_desc;Choose your Magic Lore;;;;;;;;;;;;x
loremaster.5a;Lore of Shadows;;;;;;;;;;;;x
loremaster.5b;Lore of Light;;;;;;;;;;;;x
loremaster.5c;Lore of Death;;;;;;;;;;;;x
loremaster.5d;Next;;;;;;;;;;;;x


#Magic Casting 
z_channel;Channel Spell Power.;;;;;;;;;;;;x
z_channel_desc;Generate Spell Power Points.Root.GetBestName] has [Root.spell_power.GetValue] spell power points .;;;;;;;;;;;;x



z_spell_menu.2;Magic Casting.;;;;;;;;;;;;x
z_spell_menu.2_desc;The casting of magic draws upon one of the most potent elements of the world itself, the very essence of chaos. To channel such arcane and terrible powers, is to invite your total destruction, as the very forces of reality are rent asunder in the face of such energies..;;;;;;;;;;;;x

high_magic_lore.2a;Cast Drain Magic.;;;;;;;;;;;;x
high_magic_lore.2a_desc;Drain Magic is the pinnacle of high magic, it prevents all magic than high magic from working in the province. Each cast of this spell will reduce the effective magic power of non high magic casters by 1. Four casts will make it impossible for any magic other than high magic to be used.;;;;;;;;;;;;x
high_magic_lore.101;Drain Magic.;;;;;;;;;;;;x
high_magic_lore.101_desc;Drain Magic is the pinnacle of high magic, it drains spell power points from all enemy casters in the province..;;;;;;;;;;;;x
high_magic_lore.101a;Now let's see them cast!;;;;;;;;;;;;x

high_magic_lore.2b;Cast Soul Quench.;;;;;;;;;;;;x
high_magic_lore.2b_desc;Soul Quench is a deadly magic missile. This attack does damage scaling with respect to your learning and magic power scores.;;;;;;;;;;;;x
high_magic_lore.201;And the Fires of the Elves consume their foes!;;;;;;;;;;;;x
high_magic_lore.201_desc;Cast your powers and strike down your enemies with the fires that burn the very soul. Your power consumes the life of your chosen target!;;;;;;;;;;;;x
high_magic_lore.201a;In fire may you rest!;;;;;;;;;;;;x

high_magic_lore.2c;Cast Apotheosis.;;;;;;;;;;;;x
high_magic_lore.2c_desc;Apotheosis is a powerful healing spell. It will regenerate a random percentage of your armies missing troops.;;;;;;;;;;;;x
high_magic_lore.301;Restore, Regenerate, Regrow!;;;;;;;;;;;;x
high_magic_lore.301_desc;With words of power knit anew wrent flesh, and restore hope and vigour. The life giving flows of your powers restore life and heart to your armies!;;;;;;;;;;;;x
high_magic_lore.301a;My armies are renewed!;;;;;;;;;;;;x

high_magic_lore.2d;Cast Firey Convocation.;;;;;;;;;;;;x
high_magic_lore.2d_desc;Firey Convocation is a powerful damage over time spell. It will last for a duration between 5-15 days, modified by your learning score, while inflicting damage also modified by your learning score.;;;;;;;;;;;;x
high_magic_lore.401;Burning, ever burning, life becomes death!;;;;;;;;;;;;x
high_magic_lore.401_desc;The greatest hell Elven magic can conjure has been set forth, you can only watch in horror as the world itself turns to ash before Asuryan's fury!;;;;;;;;;;;;x
high_magic_lore.401a;Let fire consume your soul!;;;;;;;;;;;;x












high_magic_lore_non_battle.2;High Magic.;;;;;;;;;;;;x
high_magic_lore_non_battle.2_desc;High Magic is quite simply magic in its purest form. Those who have mastered this most challenging of lores hold the entire spectrum of magic at their command. At a High Mage's word, shimmering fields of magical energy spring into being to protect his allies, and the fires of courage can blaze anew within their hearts. The truly gifted can even becalm the Winds of Magic themselves, collapsing a raging tempest until naught but a gentle breeze remains. With but a wave of his hand, a High Mage can call down the wrath of the heavens, paralyse his foes, or immolate whole regiments with Asuryan's Fire.;;;;;;;;;;;;x
high_magic_lore_non_battle.2a;Cast Healing Light of Qyesh.;;;;;;;;;;;;x
high_magic_lore_non_battle.2b;Cast Empowering Martial Majesty.;;;;;;;;;;;;x
high_magic_lore_non_battle.2c;Cast Shining Light of Hope.;;;;;;;;;;;;x
high_magic_lore_non_battle.2d;Cast Sacred Light of Fertility.;;;;;;;;;;;;x
high_magic_lore_non_battle.2e;Cast Ward of Protection.;;;;;;;;;;;;x
high_magic_lore_non_battle.2f;Cast Ward of Army's Deliverance.;;;;;;;;;;;;x

high_magic_lore_non_battle.2a_desc;Healing Light of Qyesh restores the flesh and soul, removing wounds, and casting forth daemons!.;;;;;;;;;;;;x
high_magic_lore_non_battle.2b_desc;With Qyesh, the mental and emotional impulses of your generals can be readily sharpened. Providing a +5 bonus to martial to all of [spelltarget.GetBestName]'s Generals. These Generals will also find themselves blessed against offensive magics, a sharp defensive Ward that shall take the first damaging spell to be cast at them by an enemy.;;;;;;;;;;;;x
high_magic_lore_non_battle.2c_desc;Empower the morale of [spelltarget.GetBestName]'s entire realm. This spells boosts by 50% the levy reinforce rate and army morale of all troops raised in the targets lands.;;;;;;;;;;;;x
high_magic_lore_non_battle.2d_desc;Empower the fertility of the target character's lands. This spell will boost the prosperity in a random province.;;;;;;;;;;;;x
high_magic_lore_non_battle.2e_desc;Empower the provinces of [spelltarget.GetBestName]. This spell adds +4 Fortification levels to all of the targeted characters provinces.;;;;;;;;;;;;x
high_magic_lore_non_battle.2f_desc;The single most powerful defense against offensive magic that can be used on a non magical user. This spell generates three magical blocking wards on [spelltarget.GetBestName], as well as on every one of their generals.;;;;;;;;;;;;x

high_magic_lore_non_battle.101;Healing Light of Qyesh.;;;;;;;;;;;;x
high_magic_lore_non_battle.101_desc;Restoring Spirit and Body in one action is an act beyond all the lesser crafts of magic, but for a master of Qyesh, it is but child's play.;;;;;;;;;;;;x
high_magic_lore_non_battle.101a;By my light, you are renewed!;;;;;;;;;;;;x



high_magic_lore_non_battle.200;Empowering Martial Majesty.;;;;;;;;;;;;x
high_magic_lore_non_battle.200_desc;The light of Qyesh flows through the souls of the commanders, making them great commanders and leaders like few have ever been.;;;;;;;;;;;;x
high_magic_lore_non_battle.200a;For Victory!;;;;;;;;;;;;x


high_magic_lore_non_battle.201;I want to be the very best!;;;;;;;;;;;;x
high_magic_lore_non_battle.201_desc;Animated by your magics, your generals move unwards toward victory, boosted to the hieghts of ability, and possessed of a kind of immunity to the arts of magic.;;;;;;;;;;;;x
high_magic_lore_non_battle.201a;Like no-one ever was!;;;;;;;;;;;;x




high_magic_lore_non_battle.300;Shining Light of Hope.;;;;;;;;;;;;x
high_magic_lore_non_battle.300_desc;The greatest of mages can inspire such frenzy with put a single world. You empower your minions to heights of bravery and resiliance hitherto unknown. But yet still greater is the power to bring prosperity to the realm, all with but a word of power.;;;;;;;;;;;;x
high_magic_lore_non_battle.300a;To the Death!!;;;;;;;;;;;;x

high_magic_lore_non_battle.301;Hope burns within the heart!;;;;;;;;;;;;x
high_magic_lore_non_battle.301_desc;Like a raging sun, the fires of hope burn out of control, inspiring either the troops within the realm, or boosting the prosperity of your provinces!;;;;;;;;;;;;x
high_magic_lore_non_battle.301a;My armies are empowered!;;;;;;;;;;;;x


high_magic_lore_non_battle.401;A glowing light of wholesome growth!;;;;;;;;;;;;x
high_magic_lore_non_battle.401_desc;Powerful magics enrich the lands of [spelltarget.GetBestName], bringing about a great boost in productivity and overall prosperity. In time the riches of these lands shall stand unequalled in all the lands, preserved in timeless grace by the winds of the Aethyr!;;;;;;;;;;;;x
high_magic_lore_non_battle.401a;Against time itself, these lands shall stand!;;;;;;;;;;;;x

high_magic_lore_non_battle.501;The Soul is the Guardian of Life!;;;;;;;;;;;;x
high_magic_lore_non_battle.501_desc;Humming with the energies of the Aethyr, the glowing barriers of protection hum and zing with bristling power of the creators soul!;;;;;;;;;;;;x
high_magic_lore_non_battle.501a;Nothing shall shake the walls!;;;;;;;;;;;;x


high_magic_lore_non_battle.601;By my Magic are my Armies kept Safe!!;;;;;;;;;;;;x
high_magic_lore_non_battle.601_desc;Humming with the energies of the Aethyr, flowing barriers of protection hum and zing with bristling power of the creators soul, shielding your armies and your generals from harm, ensuring some measure of defense against the unwholesome energies of the ruinous powers.;;;;;;;;;;;;x
high_magic_lore_non_battle.601a;My Armies shall Stand Untouched!;;;;;;;;;;;;x


high_magic_lore_non_battle.99999;Magic is Might!;;;;;;;;;;;;x
high_magic_lore_non_battle.99999_desc;Your magic has bubbled in your fingertips, leaving a growing feeling of the arcane, it is time now to choose what action you shall undertake next.;;;;;;;;;;;;x
high_magic_lore_non_battle.99999a;I am done with spell casting.;;;;;;;;;;;;x

high_magic_lore_non_battle.99998;You Magic has been Dispeled.;;;;;;;;;;;;x
high_magic_lore_non_battle.99998_desc;To your horror your magic has been dispelled by an enemey caster.;;;;;;;;;;;;x
high_magic_lore_non_battle.99998a;Curses!.;;;;;;;;;;;;x


ACTION_LORE_HIGH_MAGIC_HEALING;Magic: High Magic: Healing.;;;;;;;;;;;;x
ACTION_LORE_HIGH_MAGIC_SHIELDING;Magic: High Magic: Shielding.;;;;;;;;;;;;x
ACTION_LORE_HIGH_MAGIC_CURSE;Magic: High Magic: Curse of Khaine.;;;;;;;;;;;;x
ACTION_LORE_HIGH_MAGIC_FIRE;Magic: High Magic: Fire of Asyurian.;;;;;;;;;;;;x




z_heavens_lore_magic_phase;Lore of the Heavens Magic Phase.;;;;;;;;;;;;x
z_heavens_lore_magic_phase_desc;Begin [Root.GetBestName]'s Lore of the Heavens battle phase.;;;;;;;;;;;;x


heavens_lore.2;Lore of the Heavens.;;;;;;;;;;;;x
heavens_lore.2_desc;To wield the Lore of the Heavens is to wield the power of the cosmos, to channel forces even more arcane than other more terrestrially bound magics. You call forth the devestating furies of the heavens, and even augur the future to your advantage. The penultimate power of mage of the heavens is to call down a Comet and shatter asunder the earth and the armies that dare defy your power.;;;;;;;;;;;;x
heavens_lore.2a;Foresight.;;;;;;;;;;;;x
heavens_lore.2b;Urannon's Thunderbolt.;;;;;;;;;;;;x
heavens_lore.2c;Chain Lightning.;;;;;;;;;;;;x
heavens_lore.2d;Comet of Cassondora.;;;;;;;;;;;;x
heavens_lore.2a_desc;By calling upon the portents of the heavens, your mage can see the flows and ebbs of battle well before they eventuate. This spell will stack three times, and will trigger scaling tactics that greatly increase all military performance.;;;;;;;;;;;;x
heavens_lore.2b_desc;By calling upon the might of the heavens, you call down a mighty blast of raw lightning. This blast will do high damage, scaling with your learning attribute.;;;;;;;;;;;;x
heavens_lore.2c_desc;While some just call a single blast, a true master of the heavens can unleash a randomized fury from the skies above, blasting at their foes till the heavens themselves show mercy. This spell scales in damage based on your learning attribute..;;;;;;;;;;;;x
heavens_lore.2d_desc;Perhaps the most destructive of all the powers that exist in the world. This spell is as uncontrollable as it is potent, calling one of the many meteors that orbit the world to strike at your target. You have no control over what it strikes, or how much harm it does, and it can quite easily destroy your own cities if you used too recklessly.;;;;;;;;;;;;x

heavens_lore.100;Foresight.;;;;;;;;;;;;x
heavens_lore.100_desc;Looking to the heavens, you read the flow of battle before it comes, meeting thrusts before they are made!.;;;;;;;;;;;;x
heavens_lore.100a;Finis Facit Fidem!;;;;;;;;;;;;x

heavens_lore.101;Foresight.;;;;;;;;;;;;x
heavens_lore.101_desc;The true benefit of the knowledge of the heavens is not be found in absolute victory, but in solid reaction to the otherwise unexpected.;;;;;;;;;;;;x
heavens_lore.101a;Finis Facit Fidem!;;;;;;;;;;;;x

heavens_lore.200;Urannon's Thunderbolt.;;;;;;;;;;;;x
heavens_lore.200_desc;Calling on the might of the heavens themselves, you invoke the unlimited power of the thunderbolt to crush your enemies and break their walls asunder!;;;;;;;;;;;;x
heavens_lore.200a;The Heavens Shake in my fury!;;;;;;;;;;;;x

heavens_lore.201;The Might of the Heavens is revealed!;;;;;;;;;;;;x
heavens_lore.201_desc;Like nothing else, the unlimited power of the lightning crashes upon your foes, burning and crushing and shattering entirely their ability to resist.;;;;;;;;;;;;x
heavens_lore.201a;See me and despair!;;;;;;;;;;;;x

heavens_lore.300;Chain Lightning.;;;;;;;;;;;;x
heavens_lore.300_desc;The fury of heavens is an unending torrent!.;;;;;;;;;;;;x
heavens_lore.300a;And now you shall know the power!;;;;;;;;;;;;x

heavens_lore.301;Like frost to the powers of the gods!!;;;;;;;;;;;;x
heavens_lore.301_desc;And now you shall know the power of this armed and fully operational Celestial Mage!;;;;;;;;;;;;x
heavens_lore.301a;UNLIMITED POWER!;;;;;;;;;;;;x

heavens_lore.400;Comet of Cassondora.;;;;;;;;;;;;x
heavens_lore.400_desc;Let this mighty stone be a lesson to all who would oppose me!.;;;;;;;;;;;;x
heavens_lore.400a;By death or by glory!;;;;;;;;;;;;x

heavens_lore.401;A new moon falls!;;;;;;;;;;;;x
heavens_lore.401_desc;A celestial body itself, wielded as the ultimate weapn of the ultimate war!;;;;;;;;;;;;x
heavens_lore.401a;Facillis Descensus Averno!;;;;;;;;;;;;x

heavens_lore.500;Magic is Might!;;;;;;;;;;;;x
heavens_lore.500_desc;Your magic has bubbled in your fingertips, leaving a growing feeling of the arcane, it is time now to choose what action you shall undertake next.;;;;;;;;;;;;x
heavens_lore.500a;It is time to cast again!;;;;;;;;;;;;x
heavens_lore.500b;I am done with spell casting.;;;;;;;;;;;;x

heavens_lore.501;You Magic has been Dispeled.;;;;;;;;;;;;x
heavens_lore.501_desc;To your horror your magic has been dispelled by an enemey caster.;;;;;;;;;;;;x
heavens_lore.501a;Curses!.;;;;;;;;;;;;x



heavens_lore.503;Magic is Might!;;;;;;;;;;;;x
heavens_lore.503_desc;The smell of power hangs in the air, do you possess the daring and strength to cast again?.;;;;;;;;;;;;x
heavens_lore.503a;It is time to cast again!;;;;;;;;;;;;x
heavens_lore.503b;I am done with spell casting.;;;;;;;;;;;;x

heavens_lore_non_battle.2;Lore of Heavens.;;;;;;;;;;;;x
heavens_lore_non_battle.2_desc;The Lore of the Heavens is the magic of not just the phenomena of the skies, but the sacred all powerful arts of astronomancy and fatebinding. Unlike allmost all other forms of magic, the true power of the heavens lies not in the chaos of its power, but the sheer determination of destiny. Within the power of the Heavens mage is not just the ability to perceive what yet might be, but to in fact determine what fate itself holds..;;;;;;;;;;;;x
heavens_lore_non_battle.2a;Cast Divination.;;;;;;;;;;;;x
heavens_lore_non_battle.2b;Cast Calming of the Storm.;;;;;;;;
heavens_lore_non_battle.2c;Cast Fury of the Storm.;;;;;;;;
heavens_lore_non_battle.2d;Cast Enlightenment of the Heavens.;;;;;;;;;;;;x
heavens_lore_non_battle.2e;Cast Curse of the Heavens.;;;;;;;;;;;;x
heavens_lore_non_battle.2f;Cast Binding of Fate Blessing.;;;;;;;;;;;;x
heavens_lore_non_battle.2g;Cast Binding of Fate Curse.;;;;;;;;;;;;x

heavens_lore_non_battle.2a_desc;This spell looks towards the heavens, granting different bonuses based upon the accuracy and the content of your visions.;;;;;;;;;;;;x
heavens_lore_non_battle.2b_desc;By calling on the heavens, you calm the forces of nature, speeding your forces on your way. The province your in, and all subsequent provinces gain a bonus to movement speeds.;;;;;;;;
heavens_lore_non_battle.2c_desc;You twist natures wrath to a weapon of your design. The province your in and neighbouring provinces are much more difficult to traverse, with a significant supply penalty.;;;;;;;;
heavens_lore_non_battle.2d_desc;With the empowering insight of the celestial bodies, your intellect and capabilities grow forth. But not all gains are free, and the risks for such gains are always great.;;;;;;;;;;;;x
heavens_lore_non_battle.2e_desc;By calling on the shadows of ill portent within the celestial plane, you strike a blow against your victim, pushing them towards a kind of loss, that few can deal or content with.;;;;;;;;;;;;x
heavens_lore_non_battle.2f_desc;By the positive bindings of fate, you link the destiny of a man to a particular outcome. In the case of this spell, the destiny of the subject is assured, granting a pseudo-immortality.;;;;;;;;;;;;x
heavens_lore_non_battle.2g_desc;A curse that binds ones very destiny. With a word and a hope, you determine the destruction of your victim, ensuring a particular leaving of this mortal coil.;;;;;;;;;;;;x

heavens_lore_non_battle.2a_desc;Through [magic_caster.GetBestName]'s unearthly power, [spelltarget.GetBestName] is shown visions of things to be, of things to come.;;;;;;;;;;;;x
heavens_lore_non_battle.2c_desc;Through [magic_caster.GetBestName]'s unearthly power, [spelltarget.GetBestName] mind is forcibly expanded outwards, driving it close to madness, but letting [spelltarget.GetBestName] experience the fleeting moment of eternity.;;;;;;;;;;;;x
heavens_lore_non_battle.2b_desc;Unleash or quell the might of the astrological storm, with the winds of the world, and the whims of destiny, conspiring to either advance or hinder military progress within the lands.;;;;;;;;;;;;x
heavens_lore_non_battle.2d_desc;[magic_caster.GetBestName]'s possesses the most ungodly of powers, that to bind fate. [spelltarget.GetBestName] destiny in the face of death in battle or death to the shadows is bound to your whims.;;;;;;;;;;;;x

heavens_lore_non_battle.101;Divination.;;;;;;;;;;;;x
heavens_lore_non_battle.101_desc;The hidden flows of the future are opened to [spelltarget.GetBestName]. The future shall be such that often are the chances given to them such that they can turn it's mercurial twists to their own benefit.;;;;;;;;;;;;x
heavens_lore_non_battle.101a;By my will, may you see!;;;;;;;;;;;;x

heavens_lore_non_battle.201;The fury of the Storm!;;;;;;;;;;;;x
heavens_lore_non_battle.201_desc;Animated by your magics, the full fury of the storms descends, trapping [spelltarget:GetBestName] and their army within it's unfahtomable depths. The full might of the most powerful of natural phenomena is alongisde you in your endeavours, shifting the sands of destiny to better grant to you an absolute victory!;;;;;;;;;;;;x
heavens_lore_non_battle.201a;From the heavens my might descends!;;;;;;;;;;;;x

heavens_lore_non_battle.301;Nature's Fury abates!;;;;;;;;;;;;x
heavens_lore_non_battle.301_desc;By your will the fury of the elements abates, calmed by the energies of the heavens flowing through the winds. Your armies are energized, and movement becomes quick and agile, greatly increasing the efficincy of movement.!;;;;;;;;;;;;x
heavens_lore_non_battle.301b;By the Heavens Will!;;;;;;;;;;;;x

heavens_lore_non_battle.401;That which will be, is now!;;;;;;;;;;;;x
heavens_lore_non_battle.401_desc;[spelltarget.GetBestName] finds their mental processes greatly enhanced, bringing to them a preternatural skill and ability. The knowledge of what they may yet become has become crystalized in the now, bringing with it great potential for change and advancement!;;;;;;;;;;;;x
heavens_lore_non_battle.401a;The heavens smile!;;;;;;;;;;;;x

heavens_lore_non_battle.501;Potential is realised, failure is present!;;;;;;;;;;;;x
heavens_lore_non_battle.501_desc;Your magic strikes forth, crippling the mental capabilities of [spelltarget.GetBestName]. Their new state of mental distress brings great joy to you, and great suffering to their family, who must watch with anguished heart as they stumble about as a dotard!;;;;;;;;;;;;x
heavens_lore_non_battle.501a;Cursed Intellect!;;;;;;;;;;;;x

heavens_lore_non_battle.601;By my will your fate is life!;;;;;;;;;;;;x
heavens_lore_non_battle.601_desc;Power most unnatural, the greatest magic known to all who inhabit these planes, the binding of destiny itself. The magic's reach forth and twist the very sinews of destiny, ensuring that whether by villan or by heroics, [spelltarget.GetBestName] shall not know death, till one mortal wound is suffered!;;;;;;;;;;;;x
heavens_lore_non_battle.601a;Blessings of Light (Plot Protection);;;;;;;;;;;;x
heavens_lore_non_battle.601b;Blessings of Light (Battle Protection);;;;;;;;;;;;x

heavens_lore_non_battle.701;By My will the fates shall tumble!;;;;;;;;;;;;x
heavens_lore_non_battle.701_desc;Power most unnatural, your will sets to work, shifting and changing the levers of fate, ensuring your desired end. [spelltarget.GetBestName]'s time on this mortal coil is done, by shadow or by blade their death is ensured, by the very twistings, bindings, urgings and omens of fate herself!;;;;;;;;;;;;x
heavens_lore_non_battle.701a;Curse of the Shadows (Plot Death)!;;;;;;;;;;;;x
heavens_lore_non_battle.701b;Curse of the Shadows (Battle Death);;;;;;;;;;;;x

heavens_lore_non_battle.99998;Magic is Might!;;;;;;;;;;;;x
heavens_lore_non_battle.99998_desc;Your magic has bubbled in your fingertips, leaving a growing feeling of the arcane, it is time now to choose what action you shall undertake next.;;;;;;;;;;;;x
heavens_lore_non_battle.99998a;I am done with spell casting.;;;;;;;;;;;;x

heavens_lore_non_battle.99999;You Magic has been Dispeled.;;;;;;;;;;;;x
heavens_lore_non_battle.99999_desc;To your horror your magic has been dispelled by an enemey caster.;;;;;;;;;;;;x
heavens_lore_non_battle.99999a;Curses!.;;;;;;;;;;;;x

heavens_lore_proc.1;Omens of an ever shifting dream!;;;;;;;;;;;;x
heavens_lore_proc.1_desc;Your dreams of late have contained dark omens, of things yet to be. Your mind is troubled by the implications of such portents. You know that should you focus, you could perchace gain a subtle glimpse into that which is not yet come to pass. You however must wonder, whether such forcasting is a wise undertaking...;;;;;;;;;;;;x
heavens_lore_proc.1a;I peer into the schemes of men!;;;;;;;;;;;;x
heavens_lore_proc.1b;I peer towards fortunes and riches!;;;;;;;;;;;;x
heavens_lore_proc.1c;I peer towards the bonds of men!;;;;;;;;;;;;x
heavens_lore_proc.1d;Only the Gods shall know the future!;;;;;;;;;;;;x

heavens_lore_proc.2;Shadows and serpents abound.;;;;;;;;;;;;x
heavens_lore_proc.2_desc;Your dreams and visions shake and rock your body, showing you glimpses of dreams and fantasy's yet to come to pass. In your mind, certainities begin to form, schemes of success in the removing of your enemies, and the details of your enemies scehmes to be rid of you unravel and re-ravel a thousand times a minute. Leaving you almost certain of what is to be.;;;;;;;;;;;;x
heavens_lore_proc.2a;By the Shadows!;;;;;;;;;;;;x

heavens_lore_proc.3;Riches, and Rewards Aplenty.;;;;;;;;;;;;x
heavens_lore_proc.3_desc;You dreams are seized with great visions of glory and success. Visions of untold prosperity, of untouched virgin lands fresh to your mighty vision to exploit, of hidden cache's of mighty riches, these visions and more conflict and interweave within your mind. Driving you to an aching, a craving for gold, akin to the sickness of dwarves!.;;;;;;;;;;;;x
heavens_lore_proc.3a;For riches, yet unfound!;;;;;;;;;;;;x

heavens_lore_proc.4;Of Friend and Foe.;;;;;;;;;;;;;x
heavens_lore_proc.4_desc;Of Friend and foe to rival thee, such shall be your destiny. Doomed to find a friend most dear, lost as it were worse and a-where. Knowing with the prophet's eyes, shall they bring you, your demise.;;;;;;;;;;;;x
heavens_lore_proc.4a;In the Name of Brotherhood.;;;;;;;;;;;;x

heavens_lore_proc.6;Curses;;;;;;;;;;;;x
heavens_lore_proc.6_desc;My dreams they seem to have come to naught. Nothing is there that I can see with much clarity, like all others I am condemned to the tides of time for the movements of destiny.;;;;;;;;;;;;x
heavens_lore_proc.6a;Alas, it was not to be.;;;;;;;;;;;;x

heavens_lore_proc.300;A friend indeed.;;;;;;;;;;;;x
heavens_lore_proc.300_desc;In your sojurns, you have found here a close friend, who promises to help you in your future activities and endeavours. [friendindeed.GetBestName] pledge's solidarity and brotherhood and promises to remain faithful in times both good and bad.;;;;;;;;;;;;x
heavens_lore_proc.300a;Fedility, Fraternity, Friendship!;;;;;;;;;;;;x

heavens_lore_proc.301;A Rival Emerges!;;;;;;;;;;;;x
heavens_lore_proc.301_desc;It is a sad day, but an eternal enmity has been born among the locals. [friendindeed.GetBestName] has sworn by their ancestors to bring ruin to you and yours, no matter the cost, or the required sacrifice.;;;;;;;;;;;;x
heavens_lore_proc.301a;Curses;;;;;;;;;;;;x

heavens_lore_proc.400;Riches of Gold.;;;;;;;;;;;;x
heavens_lore_proc.400_desc;All that is gold does not glitter, but that which does brings forth a special kind of love, a care and a craving, a need and a lust. These things born of most deepest greed fill your dreams, and joy, such has become your fate, gold, GOLD!, Gold uncounted is your reward!;;;;;;;;;;;;x
heavens_lore_proc.400a;My dreams of Gold!;;;;;;;;;;;;x

heavens_lore_proc.201;I see what moves within the Shadows.;;;;;;;;;;;;x
heavens_lore_proc.201_desc;Through the dreams of the weaves of destiny yet to be, you see what moves where men can't see. Revealed to your sight, from darkest night, those who would do harm to yours and thee, are stripped of their anominity.;;;;;;;;;;;;x
heavens_lore_proc.201a;I see you!;;;;;;;;;;;;;x

heavens_lore_proc.202;Revealed your secrets and evils are!;x
heavens_lore_proc.202_desc;Your plots and schemes have been revealed to [FROM.GetBestName]. Your hidden plots and daggers in the shadows are no match for the celestial gaze of the magic of amythist.;;;;;;;;;;;;x
heavens_lore_proc.202a;Cofound his psykery!;;;;;;;;;;;;x

heavens_lore_proc.210;I dream of Daggers in the Night;;;;;;;;;;;;x
heavens_lore_proc.210_desc;Through the plots and cycles of fate, you see with an unseeming certainty, the movements of your desired victim. Knowing where they will be, when they will be, and how alone they will be, you can ensure your assassin can succeed at the job.;;;;;;;;;;;;x
heavens_lore_proc.210a;My knife in the Dark!;;;;;;;;;;;;x

heavens_lore_proc.211;I see enemies everywhere!;;;;;;;;;;;;x
heavens_lore_proc.211_desc;Your dreams have turned dark, and those who plot your death in the dark corners are damned now, condemned to fail when they seek to drive home the blade into your black heart. You can only rely on the certainty of your dreams to keep you safe.;;;;;;;;;;;;x
heavens_lore_proc.211a;All the World, Enemies Mine.;;;;;;;;;;;;x

heavens_lore_proc.401;Riches flow from the Mountain.;;;;;;;;;;;;x
heavens_lore_proc.401_desc;The rivers run with Gold, your visions of glory and prosperity, have led you to the enrichment of your lands. And so like the prophecy of the Mountain King's return, your rivers run with gold!;;;;;;;;;;;;x
heavens_lore_proc.401a;By the Arkenstone!;;;;;;;;;;;;x

heavens_lore_proc.402;Growth unlimited is mine!;;;;;;;;;;;;x
heavens_lore_proc.402_desc;Through the careful planning, driven by your visions, you have artfully prepared the future expansion of your realm. While others worry about petty conquests, you have ensured a continuous growth for your people, without the hardships of war!;;;;;;;;;;;;x
