,ct_core_level_4,Sleepy Village,0.84,-0.01,-0.10,25,0,25,0,0,0,0,0,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,631,1900,ct_core_level_5,,,,9.15,-0.40,120,0,5.37,n/a,n/a,n/a,-39,50
,ct_core_level_5,Noteworthy Village,1.27,-0.01,-0.10,35,5,30,0,0,0,0,2,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,757,2700,ct_core_level_6,,,,13.21,-0.50,190,0,7.44,n/a,n/a,n/a,-33,75
,ct_core_level_6,Small Town,1.90,-0.01,-0.10,70,5,35,0,0,15,0,2,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,908,3700,ct_core_level_7,,,,19.04,-0.60,315,0,9.93,n/a,n/a,n/a,-24,130
,ct_core_level_7,Flourishing Town,2.85,-0.01,-0.10,90,10,45,0,0,20,0,3,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,1090,4800,ct_core_level_8,,,,27.42,-0.70,480,0,12.92,n/a,n/a,n/a,-9,176
,ct_core_level_8,Minor City,4.27,-0.01,-0.10,110,15,60,5,0,25,0,4,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,1308,6100,ct_core_level_9,,,,39.44,-0.80,695,0,16.50,n/a,n/a,n/a,12,237
,ct_core_level_9,Bustling City,6.41,-0.01,-0.10,150,15,70,10,2,30,0,4,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,1569,7600,ct_core_level_10,,,,56.67,-0.90,972,0,20.80,n/a,n/a,n/a,44,297
,ct_core_level_10,Sprawling City,9.61,-0.01,-0.10,200,20,90,15,3,40,0,5,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,1883,9300,ct_core_level_11,,,,81.33,-1.00,1340,0,25.96,n/a,n/a,n/a,92,395
,ct_core_level_11,Metropolis,14.42,-0.01,-0.10,250,25,125,20,5,50,0,5,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,2260,11200,,,,,116.57,-1.10,1815,0,32.15,n/a,n/a,n/a,164,518
ca core buildings provide a good amount of professional troops with good all-round balance.,ca_core_level_1,Outpost,0.13,-0.01,-0.10,5,0,5,0,0,0,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0,365,50,ca_core_level_2,,,,1.54,-0.10,10,0,1.00,n/a,n/a,n/a,-50,10
,ca_core_level_2,Fortified Hall,0.20,-0.01,-0.10,15,5,10,5,0,0,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0,438,600,ca_core_level_3,,,,2.26,-0.20,45,0,2.20,n/a,n/a,n/a,-49,40
,ca_core_level_3,Border Keep,0.29,-0.01,-0.10,25,10,15,5,0,0,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0,526,1200,ca_core_level_4,,,,3.29,-0.30,100,0,3.64,n/a,n/a,n/a,-48,63
,ca_core_level_4,Decrepit Bastion,0.44,-0.01,-0.10,35,10,20,5,0,0,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0,631,1900,ca_core_level_5,,,,4.76,-0.40,170,0,5.37,n/a,n/a,n/a,-45,75
,ca_core_level_5,Frontier Castle,0.66,-0.01,-0.10,50,15,25,10,2,0,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0,757,2700,ca_core_level_6,,,,6.87,-0.50,272,0,7.44,n/a,n/a,n/a,-42,116
,ca_core_level_6,Noteworthy Castle,0.99,-0.01,-0.10,65,20,30,10,3,0,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0,908,3700,ca_core_level_7,,,,9.90,-0.60,400,0,9.93,n/a,n/a,n/a,-37,145
,ca_core_level_7,Minor Fortress,1.48,-0.01,-0.10,80,25,35,15,3,0,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0,1090,4800,ca_core_level_8,,,,14.26,-0.70,558,0,12.92,n/a,n/a,n/a,-30,177
,ca_core_level_8,Fortress,2.22,-0.01,-0.10,100,30,40,15,4,5,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0,1308,6100,ca_core_level_9,,,,20.51,-0.80,752,0,16.50,n/a,n/a,n/a,-19,219
,ca_core_level_9,Renowned Fortress,3.33,-0.01,-0.10,120,35,45,10,5,5,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0,1569,7600,ca_core_level_10,,,,29.47,-0.90,972,0,20.80,n/a,n/a,n/a,-2,243
,ca_core_level_10,Citadel,5.00,-0.01,-0.10,140,40,50,15,5,5,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0,1883,9300,ca_core_level_11,,,,42.29,-1.00,1227,0,25.96,n/a,n/a,n/a,23,278
,ca_core_level_11,Gargantuan Citadel,7.50,-0.01,-0.10,160,50,55,20,5,5,0,0,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0,2260,11200,,,,,60.61,-1.10,1522,0,32.15,n/a,n/a,n/a,60,323
"cat (castle, city, temple) administration bolsters tax and allows tax, levy and resource buildings.",cat_adm_level_1,Village Elder,0.03,0.01,0.05,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,128,0,cat_adm_level_2,cat_core_level_4,,,0.36,0.05,0,120,0.35,n/a,n/a,n/a,51,0
,cat_adm_level_2,Networked Village Elders,0.05,0.01,0.05,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130,154,0,cat_adm_level_3,cat_core_level_5,,,0.56,0.10,0,250,0.77,n/a,n/a,n/a,52,0
,cat_adm_level_3,Local Council,0.07,0.01,0.05,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140,184,0,cat_adm_level_4,cat_core_level_6,,,0.86,0.15,0,390,1.28,n/a,n/a,n/a,52,0
,cat_adm_level_4,Mayoral Court,0.10,0.01,0.05,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150,221,0,cat_adm_level_5,cat_core_level_8,,,1.33,0.20,0,540,1.88,n/a,n/a,n/a,53,0
,cat_adm_level_5,Local Government,0.15,0.01,0.05,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,265,0,cat_adm_level_6,cat_core_level_10,,,2.06,0.25,0,700,2.61,n/a,n/a,n/a,53,0
,cat_adm_level_6,Regional Government,0.23,0.01,0.05,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180,319,0,,cat_core_level_11,,,3.18,0.30,0,880,3.48,n/a,n/a,n/a,54,0
