wildling_horde;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_12_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_13;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_13_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_14;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_14_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_15;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_15_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_16;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_16_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_17;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_17_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_18;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_18_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_19;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_19_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_20;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_20_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
