#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_falconknight;the Falconknight;;;;;;;;;x
nick_the_bronze_king;the Shield of The Vale;;;;;;;;;x
nick_the_mountain;the Mountain;;;;;;;;;x
nick_greatlion;Greatlion;;;;;;;;;x
nick_the_golden;the Golden;;;;;;;;;x
nick_the_red_lion;the Red Lion;;;;;;;;;x
nick_the_red;the Red;;;;;;;;;x
nick_the_black;the Black;;;;;;;;;x
nick_the_green;the Green;;;;;;;;;x
nick_the_knight_of_flowers;the Knight of Flowers;;;;;;;;;x
nick_bittersteel;Bittersteel;;;;;;;;;x
nick_the_sword_of_oldtown;the Sword of Oldtown;;;;;;;;;x
nick_the_vine;The Vine ;;;;;;;;;x
nick_the_bright_lord;the Bright Lord;;;;;;;;;x
nick_the_gallant;the Gallant;;;;;;;;;x
nick_the_fearless_light;the Fearless Light;;;;;;;;;x
nick_the_endless_tide;the Endless Tide;;;;;;;;;x
nick_the_iron_storm;the Iron Storm;;;;;;;;;x
nick_ironbeard;Ironbeard;;;;;;;;;x
nick_the_faithful_fish;the Faithful Fish;;;;;;;;;x
nick_the_brave_son;the Brave Son;;;;;;;;;x
nick_the_restorer;the Restorer;;;;;;;;;x
nick_gravesister;Gravesister;;;;;;;;;x
nick_the_just_lord;the Just Lord;;;;;;;;;x
nick_darkrobin;Darkrobin;;;;;;;;;x
nick_the_purple;the Purple;;;;;;;;;x
nick_the_emerald;the Emerald;;;;;;;;;x
nick_evenstar;Evenstar;;;;;;;;;x
nick_the_unforgiving;the Unforgiving;;;;;;;;;x
nick_the_white_wolf;the White Wolf;;;;;;;;;x
nick_the_black_wolf;the Black Wolf;;;;;;;;;x
nick_the_foaming_bear;the Foaming Bear;;;;;;;;;x
nick_the_arrogant;the Arrogant;;;;;;;;;x
nick_the_storm;the Storm;;;;;;;;;x
nick_greatstag;Greatstag;;;;;;;;;x
nick_the_stag_knight;the Stag Knight;;;;;;;;;x
nick_the_laughing_storm;the Laughing Storm;;;;;;;;;x
nick_the_lion_knight;the Lion Knight;;;;;;;;;x
nick_the_legendary;the Legendary;;;;;;;;;x
nick_the_bronze;the Bronze;;;;;;;;;x
nick_the_eagleknight;the Eagleknight;;;;;;;;;x
nick_the_hammer_of_hammerhorn;the Hammer of Hammerhorn;;;;;;;;;x
nick_the_hammer_of_oldstones;the Hammer of Oldstones;;;;;;;;;x
nick_graveman;Graveman;;;;;;;;;x
nick_the_hammer_of_justice;the Hammer of Justice;;;;;;;;;x
nick_the_lunk;the Lunk;;;;;;;;;;;;x
nick_the_comatose_king;the Comatose King;;;;;;;;;;;;x
nick_the_laughing_knight;the Laughing Knight;;;;;;;;;;;;x
nick_the_vegetable;the Vegetable;;;;;;;;;;;;x
nick_the_mountaineer;the Mountaineer;;;;;;;;;;;;x
nick_the_patient;the Patient;;;;;;;;;;;;x
nick_the_lord_of_mud;the Lord of Mud;;;;;;;;;;;;x
nick_the_outlaw;the Outlaw;;;;;;;;;;;;;x
nick_the_sellsword_king;the Sellsword King;;;;;;;;;;;;;x
nick_the_merchant_king;the Merchant King;;;;;;;;;;;;;x
nick_the_kinslayer_king;the Kinslayer King;;;;;;;;;;;;;x
nick_the_kinslayer;the Kinslayer;;;;;;;;;;;;;x
nick_the_sourfish;the Sourfish;;;;;;;;;;;;;x
nick_the_cynical;the Cynical;;;;;;;;;;;;;x
nick_the_quick;the Quick;;;;;;;;;;;;;x
nick_the_lost_wolf;the Lost Wolf;;;;;;;;;;;;;x
nick_the_old_wolf;the Old Wolf;;;;;;;;;;;;;x
nick_giants_fist;Giant's Fist;;;;;;;;;;;;;x
nick_ironfish;Ironfish;;;;;;;;;x
nick_the_amazing;the Amazing;;;;;;;x
nick_evenstar;Evenstar;;;;;;x
nick_the_knight_of_kisses;the Knight of Kisses;;;;;;;;x
nick_the_true;The True;;;;;;;x
nick_the_hungry_wolf;The Hungry Wolf;;;;;;;;;x
nick_the_ironside;Ironside;Côte-de-Fer;Eisenseite;;Brazo de Hierro;;;;;;;;;x
nick_the_poet;the Poet;le Poète;der Dichter;;El Poeta;;;;;;;;;x
nick_the_cunning;the Cunning;le Sagace;der Listige;;El Astuto;;;;;;;;;x
nick_the_meek;the Meek;le Doux;der Sanftmütige;;El Manso;;;;;;;;;x
nick_the_impaler;the Tickler;l'Empaleur;der Kitzler;;El Empalador;;;;;;;;;x
nick_the_spider;the Spider;l'Araignée;die Spinne;;La Araña;;;;;;;;;x
nick_the_learned;the Learned;le Savant;der Gelehrte;;El Aprendido;;;;;;;;;x
nick_the_eloquent;the Eloquent;l'Éloquent;der Wortgewandte;;El Elocuente;;;;;;;;;x
nick_the_indolent;the Indolent;l'Indolent;der Träge;;El Indolente;;;;;;;;;x
nick_the_hunchback;the Hunchback;le Bossu;der Bucklige;;El Jorobado;;;;;;;;;x
nick_the_benign;the Benign;le Bienveillant;der Gutartige;;El Benigno;;;;;;;;;x
nick_the_leper;the Leper;le Lépreux;der Aussätzige;;El Leproso;;;;;;;;;x
nick_the_prudent;the Prudent;le Prudent;der Umsichtige;;El Prudente;;;;;;;;;x
nick_the_wolf;the Wolf;le Loup;der Wolf;;El Lobo;;;;;;;;;x
nick_the_downcast;the Downcast;l'Abattu;der Niedergeschlagene;;El Alicaído;;;;;;;;;x
nick_the_mild;the Mild;le Léger;der Milde;;El Leve;;;;;;;;;x
nick_the_scholar;the Scholar;l'Érudit;der Schüler;;El Erudito;;;;;;;;;x
nick_the_theologian;the Theologian;le Théologien;der Theologe;;El Teólogo;;;;;;;;;x
nick_the_decadent;the Decadent;le Décadent;der Dekadente;;El Decadente;;;;;;;;;x
nick_the_vain;the Vain;le Vaniteux;der Eitle;;El Vano;;;;;;;;;x
nick_the_stout;the Stout;le Robuste;der Stämmige;;El Corpulento;;;;;;;;;x
nick_the_ugly;the Ugly;le Laid;der Hässliche;;El Feo;;;;;;;;;x
nick_the_short;the Short;le Bref;der Kleingewachsene;;El Corto;;;;;;;;;x
nick_the_planter;the Planter;le Planteur;der Pflanzer;;El Plantador;;;;;;;;;x
nick_the_rash;the Rash;l'Imprudent;der Unbesonnene;;El Adjetivo;;;;;;;;;x
nick_the_parricide;the Parricide;le Parricide;der Vatermörder;;El Parricida;;;;;;;;;x
nick_the_illustrious;the Illustrious;l'Illustre;der Berühmte;;El Ilustre;;;;;;;;;x
nick_the_warrior;the Warrior;le Guerrier;der Krieger;;El Guerrero;;;;;;;;;x
nick_the_mystic;the Mystic;le Mystique;der Mystiker;;El Místico;;;;;;;;;x
nick_the_bad;the Bad;le Mauvais;der Miese;;El Malo;;;;;;;;;x
nick_the_generous;the Generous;le Généreux;der Großzügige;;El Generoso;;;;;;;;;x
nick_the_honorable;the Honorable;l'Honorable;der Ehrenhafte;;El Honorable;;;;;;;;;x
nick_the_treacherous;the Treacherous;le Perfide;der Verräterische;;El Traicionero;;;;;;;;;x
nick_the_weak;the Weak;le Faible;der Schwache;;El Débil;;;;;;;;;x
nick_the_scarred;the Scarred;le Balafré;der Narbige;;El Cicatrizado;;;;;;;;;x
nick_the_quiet;the Quiet;le Tranquille;der Ruhige;;El Tranquilo;;;;;;;;;x
nick_the_shrewd;the Shrewd;l'Astucieux;der Schlaue;;El Hábil;;;;;;;;;x
nick_the_peaceful;the Peaceful;le Pacifique;der Friedliche;;El Pacífico;;;;;;;;;x
nick_the_ambitious;the Ambitious;l'Ambitieux;der Ehrgeizige;;El Ambicioso;;;;;;;;;x
nick_the_truthful;the Truthful;le Véridique;der Wahrheitsgemäße;;El Veraz;;;;;;;;;x
nick_the_distrustful;the Distrustful;le Méfiant;der Misstrauische;;El Desconfiado;;;;;;;;;x
nick_the_righteous;the Righteous;le Vertueux;der Rechtschaffene;;El Virtuoso;;;;;;;;;x
nick_the_hotspur;Hotspur;Tête-chaude;Heißsporn;;El Veloz;;;;;;;;;x
nick_the_boar;the Boar;le Verrat;Wildschwein;;El Verraco;;;;;;;;;x
nick_the_pompous;the Pompous;le Pompeux;der Pompöse;;El Pomposo;;;;;;;;;x
nick_the_exile;the Exile;l'Exilé;der Exilierte;;El Exiliado;;;;;;;;;x
nick_the_infirm;the Infirm;l'Infirme;der Gebrechliche;;El Enfermizo;;;;;;;;;x
nick_the_reluctant;the Reluctant;le Réticent;der Widerstrebende;;El Renuente;;;;;;;;;x
nick_the_peculiar;the Peculiar;le Particulier;der Eigenartige;;El Peculiar;;;;;;;;;x
nick_the_dane;the Dane;le Danois;der Däne;;El Danés;;;;;;;;;x
nick_the_saxon;the Saxon;le Saxon;der Sachse;;El Sajón;;;;;;;;;x
nick_the_scot;the Scot;le Écossais;der Schotte;;El Escocés;;;;;;;;;x
nick_the_german;the German;l'Allemand;der Deutsche;;El Alemán;;;;;;;;;x
nick_the_rich;the Rich;le Riche;der Reiche;;El Rico;;;;;;;;;x
nick_the_stammerer;the Stammerer;le Bègue;der Stotterer;;El Tartamudo;;;;;;;;;x
nick_the_brilliant;the Brilliant;le Brillant;der Brillante;;El Brillante;;;;;;;;;x
nick_the_norman;the Norman;le Normand;der Normanne;;El Normando;;;;;;;;;x
nick_the_moor;the Moor;le Maure;der Mohr;;El Moro;;;;;;;;;x
nick_the_apathetic;the Apathetic;l'Apathique;der Apathische;;El Apático;;;;;;;;;x
nick_the_upright;the Upright;l'Honnête;der Aufrechte;;El Recto;;;;;;;;;x
nick_the_skald;the Skald;le Skald;der Skalde;;El Skald;;;;;;;;;x
nick_the_bard;the Bard;le Barde;der Barde;;El Bardo;;;;;;;;;x
nick_the_scop;the Scop;le Scope;der Scope;;El Trovador;;;;;;;;;x
nick_the_recluse;the Recluse;le Reclus;der Einsiedler;;El Recluso;;;;;;;;;x
nick_the_tyrant;the Tyrant;le Tyran;der Tyrann;;El Tirano;;;;;;;;;x
nick_the_nord;the Nord;le Nordique;der Nordische;;El Norteño;;;;;;;;;x
nick_the_breton;the Breton;le Breton;der Bretone;;El Bretón;;;;;;;;;x
nick_the_finn;the Finn;le Finlandais;der Finne;;El Finés;;;;;;;;;x
nick_the_candid;the Candid;le Candide;der Offene;;El Franco;;;;;;;;;x
nick_the_clubfoot;the Clubfoot;le Pied Bot;der Klumpfuß;;El Zambo;;;;;;;;;x
nick_the_suspicious;the Suspicious;le Méfiant;der Argwöhnische;;El Desconfiado;;;;;;;;;x
nick_the_eagle;the Eagle;l'Aigle;der Adler;;El Águila;;;;;;;;;x
nick_the_seemly;the Seemly;le Convenable;der Schickliche;;El Decoroso;;;;;;;;;x
nick_the_ashik;the Ashik;l'Ashik;der Ashik;;El Ashik;;;;;;;;;x
nick_the_minnesinger;the Minnesinger;le Minnesinger;der Minnesänger;;El Minnesänger;;;;;;;;;x
nick_the_wanton;the Wanton;le Dévergondé;der Mutwillige;;El Sin Sentido;;;;;;;;;x
nick_the_glorious;the Glorious;le Glorieux;der Glorreiche;;El Glorioso;;;;;;;;;x
nick_godsgrief;Godsgrief;;;;;;;;;x
nick_durran;Durran Durran Durran Durran Durran Durran;;;;;;;;;x
nick_god_sea;The God of The Sea;;;;;;;;;x
nick_god_wind;The Goddess of The Wind;;;;;;;;;x
nick_the_venturer;the Venturing Seasnake;;;;;;;;;x
nick_the_rising_sun;the Rising Sun;;;;;;;;;x
nick_the_setting_sun;the Setting Sun;;;;;;;;;x
nick_brightsun;Brightsun;;;;;;;;;x
nick_the_eager_dawn;the Eager Dawn;;;;;;;;;x
nick_the_quiet_wolf;the Quiet Wolf;;;;;;;;;x
nick_the_wild_wolf;the Wild Wolf;;;;;;;;;x
nick_the_wolf_maid;the Wolf Maid;;;;;;;;;x
nick_the_old_falcon;the Old Falcon;;;;;;;;;x
nick_the_great_falcon;the Great Falcon;;;;;;;;;x
nick_the_golden_lion;the Golden Lion;;;;;;;;;x
nick_the_little_lion;the Little Lion;;;;;;;;;x
nick_the_lobster;the Lobster Merchant;;;;;;;;;x
nick_the_dreaded;the Dreaded;;;;;;;;;x
nick_the_flayer;the Flayer;;;;;;;;;x
nick_the_deceiver;the Deceiver;;;;;;;;;x
nick_the_bane_of_winterfell;the Bane of Winterfell;;;;;;;;;x
nick_wolfkiller;Wolfkiller;;;;;;;;;x
nick_the_flayed_man;the Flayed Man;;;;;;;;;x
nick_the_red_king;the Dread King;;;;;;;;;x
nick_stump_hand;Stump-hand;;;;;;;;;x
nick_the_sage;the Sage;;;;;;;;;x
nick_the_green_knight;the Green Knight;;;;;;;;;x
nick_brightstaff;Brightstaff;;;;;;;;;x
nick_the_equestrian;the Equestrian;;;;;;;;;x
nick_the_horseman;the Horseman;;;;;;;;;x
nick_the_rider;the Rider;;;;;;;;;x
nick_the_grey_wolf;the Grey Wolf;;;;;;;;;x
nick_the_bloody_king;the Bloody King;;;;;;;;;x
nick_the_red_champion;the Red Champion;;;;;;;;;x
nick_the_red_ruler;the Red King;;;;;;;;;x
nick_the_red_bane;the Red Bane;;;;;;;;;x
nick_the_lion_tamer;the Lion Tamer;;;;;;;;;x
nick_the_sword_of_the_morning;the Sword of The Morning;;;;;;;;;x
nick_starsmith;Starsmith;;;;;;;;;x
nick_the_sword_dawn;the Sword of The Everlasting Dawn;;;;;;;;;x
nick_the_deadly;the Deadly;;;;;;;;;x
nick_the_defiant;the Defiant;;;;;;;;;x
nick_the_daring;the Daring;;;;;;;;;x
nick_the_fallen_star;the Fallen Star;;;;;;;;;x
nick_the_risen_star;the Risen Star;;;;;;;;;x
nick_the_sword_of_the_evening;the Sword of The Evening;;;;;;;;;x
nick_the_sword_of_palestone;the Sword of Palestone;;;;;;;;;x
nick_the_paleman;the Paleman;;;;;;;;;x
nick_the_wielder_of_dawn;the Wielder of Dawn;;;;;;;;;x
nick_the_meteor;the Meteor;;;;;;;;;x
nick_the_sword_of_the_night; the Sword of The Night;;;;;;;;;x
nick_the_sword_of_the_hour;the Sword of the Hour;;;;;;;;;x
nick_starfire;Starfire;;;;;;;;;x
nick_shadowborne;Shadowborne;;;;;;x
nick_the_dim;the Dim;;;;;;x
nick_blackseed;Blackseed;;;;;;x
nick_shadowbitch;Shadowbitch;;;;;;x
nick_the_dusk_bringer;Dusk Bringer;;;;;;x
nick_blacksword;Blacksword;;;;;;x
nick_stagsbane;Stagsbane;;;;;;x
nick_the_unfortunate;the Unfortunate;;;;;;x
nick_the_heathen;the Heathen;;;;;;x
nick_the_shadow;The Shadow;;;;;;x
nick_fair_maid;The Fair Maid;;;;;;x
nick_ravensword;Ravensword;;;;;;x
nick_the_raven;the Raven;;;;;;x
nick_lord_five_fingers; Lord of the Five Fingers;;;;;;x
nick_the_merman;The Merman;;;;;;x
nick_the_mermaid;The Mermaid;;;;;;x
nick_chequy_lion;the Chequy Lion;;;;;;x
nick_the_cudgel;the Cudgel of Justice;;;;;;x
nick_the_9939th;the 9939th;;;;;;x
nick_the_raper;the Raper;;;;;;x
nick_the_giant_slayer;the Giant Slayer;;;;;;x
nick_the_madling;the Madling;;;;;;x
nick_half_blood;Half-Blood;;;;;;x
nick_the_first_man;The First Man;;;;;;x
nick_the_hooded_man;The Hooded Man;;;;;;x
nick_the_clever;the Clever;;;;;;x 
nick_the_golden_knight;the Golden Hand;;;;;;x
nick_goldhand;Goldhand;;;;;;x
nick_the_devout;the Devout;;;;;;x
nick_smalltower;Smalltower;;;;;;x
nick_greystone;Greystone;;;;;;x
nick_godsbane;Godsbane;;;;;;x
nick_the_thrice_blessed;the Thrice Blessed;;;;;;x
nick_the_bloody_paw;the Bloody Paw;;;;;;x
nick_the_last;the Last;;;;;;x
nick_the_wanderer;the Wanderer;;;;;;x
nick_the_sea_lion;the Sea Lion;;;;;;x
nick_the_twisted;The Twisted;;;;;;x
nick_knightsbane;Knightsbane;;;;;;x
nick_sweetrobin;Sweetrobin;;;;;;x
nick_redhand;Redhand;;;;;;x
nick_the_latecomer;the Latecomer;;;;;;x
nick_badbrother;Badbrother;;;;;;x
nick_maidensbane;Maidensbane;;;;;;x
nick_the_old_kraken;the Old Kraken;;;;;;x
nick_raven_feeder;Raven-feeder;;;;;;x
nick_ironfoot;Ironfoot;;;;;;x
nick_the_young_ser;the Young Ser;;;;;;;;;;;x
nick_silvertounge;Silvertounge;;;;;;;;;;;x
nick_the_dragon_knight;the Dragon Knight;;;;;;;;;;;x
nick_the_red_knight;The Red Knight;;;;;;;;;;;x
nick_the_knight;the Knight;;;;;;;;;;;x
nick_the_thunderbolt;the Thunderbolt;;;;;;;;;;;x
nick_the_lion;the Lion;;;;;;;;;;;x
nick_the_mason;the Mason;;;;;;;;;;;x
nick_gods_fearing;the Gods-fearing;;;;;;;;;;;x
nick_goldenhand;Goldenhand;;;;;;;;;;;x
nick_grey_eyes;Grey-Eyes;;;;;;;;;;;x
nick_the_morningstar;the Morningstar;;;;;;;;;;;x
nick_the_grim;the Grim;;;;;;;;;;;x
nick_the_bridegroom;the Bridegroom;;;;;;;;;;;x
nick_the_woe;the Woe;;;;;;;;;;;x
nick_hammer_of_the_dornish;Hammer of the Dornish;;;;;;;;;;;x
nick_the_gardener;the Gardener;;;;;;;;;;;x
