china_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x;;;;
china_grace_send_gift_desc;Send a gift of coin to §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Envoyer un cadeau à l'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Entsendet ein Geschenk aus Münzen an §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!;;Enviar regalo de monedas a §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!;;;;;;;;;x;;;;
china_grace_send_gift_allow_tt;Has NOT gifted money to the §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! within the last 15 years;N'a pas donné d'argent à l'§Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! au cours des 15 dernières années;Hat §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! in den letzten 15 Jahren KEIN Geld geschenkt;;NO ha regalado dinero al §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! en los últimos 15 años.;;;;;;;;;x;;;;
china_grace_peace_deal_allow_tt;Does NOT have a non-aggression pact or peace deal with the §Y[Root.Offmap.GetFullName]§! and its §Y[Root.Offmap.Governor.GetTitle]§!\n;N'a pas de pacte de non-agression ni d'accord de paix avec l'§Y[Root.Offmap.GetFullName]§! et son §Y[Root.Offmap.Governor.GetTitle]§!\n;Hat KEINEN Nichtangriffspakt oder Friedensvertrag mit §Y[Root.Offmap.GetFullName]§! und s[Root.Offmap.Governor.Geteinemeiner] §Y[Root.Offmap.Governor.GetTitle]§!\n;;NO tiene un pacto de no agresión o acuerdo de paz con el §Y[Root.Offmap.GetFullName]§! y su §Y[Root.Offmap.Governor.GetTitle]§!\n;;;;;;;;;x;;;;
china_grace_peace_deal;Request a Peace Deal;Demander un accord de paix;Friedensvertrag anfordern;;Solicitar acuerdo de paz;;;;;;;;;x;;;;
china_grace_peace_deal_effect_tt;\nDuring the peace deal, the §Y[Root.Offmap.GetFullName]§! and its §Y[Root.Offmap.Governor.GetTitle]§! will not declare war on you. It will last for §Y50§! years or until the dynasty of the [Root.Offmap.Ruler.GetTitle], [Root.Offmap.Ruler.GetOnlyDynastyName], ends.;\nPendant l'accord de paix, l'§Y[Root.Offmap.GetFullName]§! et son §Y[Root.Offmap.Governor.GetTitle]§! ne vous déclareront pas la guerre. Il durera §Y50§! ans ou jusqu'à la fin de la dynastie de l'[Root.Offmap.Ruler.GetTitle], les [Root.Offmap.Ruler.GetOnlyDynastyName].;\nWährend des Friedensvertrages werden Euch §Y[Root.Offmap.GetFullName]§! und seine §Y[Root.Offmap.Governor.GetTitle]§! keinen Krieg erklären. Er wird für §Y50§! Jahre andauern oder bis die Dynastie von [Root.Offmap.Ruler.GetTitle] [Root.Offmap.Ruler.GetOnlyDynastyName] endet.;;\nMientras dure el acuerdo de paz, el §Y[Root.Offmap.GetFullName]§! y su §Y[Root.Offmap.Governor.GetTitle]§! no te declararán la guerra. Durará §Y50§! años o hasta que cambie la dinastía [Root.Offmap.Ruler.GetOnlyDynastyName] del [Root.Offmap.Ruler.GetTitle].;;;;;;;;;x;;;;
china_grace_become_tributary;Become Tributary;Devenir tributaire;Tributstaat werden;;Convertirse en tributario;;;;;;;;;x;;;;
china_grace_become_tributary_allow_governor_neighbor_tt;Has a realm county bordering the [Root.PrimaryTitle.GetFullName]\n;A dans son pays un comté limitrophe [Root.PrimaryTitle.Get_au_RealmFull][Root.PrimaryTitle.GetFullName]\n;Hat eine Reichsgrafschaft, die an [Root.PrimaryTitle.GetFullName] grenzt\n;;Tiene un reino fronterizo con el [Root.PrimaryTitle.GetFullName]\n;;;;;;;;;x;;;;
china_grace_become_tributary_allow_tributary_neighbor_tt;Has a realm county bordering a nation which is a tributary of the [Root.Offmap.GetFullName]\n;A dans son pays un comté limitrophe d'un pays tributaire de l'[Root.Offmap.GetFullName] \n;Hat eine Reichsgrafschaft, die an eine Nation, die ein Tributstaat von [Root.Offmap.GetFullName] ist, angrenzt\n;;Tiene un reino fronterizo con una nación tributaria del [Root.Offmap.GetFullName]\n;;;;;;;;;x;;;;
china_grace_become_tributary_allow_eastern_border_tt;Has a realm county bordering the Eastern edge of the map\n;A dans son pays un comté au bord oriental de la carte\n;Hat eine Reichsgrafschaft, die an den östlichen Rand der Karte angrenzt.;;Tiene un reino fronterizo con el extremo oriental del mapa\n;;;;;;;;;x;;;;
china_grace_become_tributary_allow_india_tt;Has a coastal realm county in Essos\n;A dans son pays un comté côtier en Inde\n;Hat eine Küstengrafschaft in Indien\n;;Su reino tiene un condado costero en la India\n;;;;;;;;;x;;;;
title_administrator_modifier_tt;Has earned an academic degree by passing the imperial examinations in Valyria;A obtenu un diplôme académique en passant les examens impériaux en Chine;Hat durch das Bestehen der kaiserlichen Prüfungen einen akademischen Abschluss erworben;;Ganó su título académico aprobando los exámenes imperiales de Freehold;;;;;;;;;x;;;;
employing_jd_administrator;Employing Scholar-Bureaucrat;Emploie un érudit-bureaucrate;Beschäftigt Beamtengelehrten;;Empleando al burócrata erudito;;;;;;;;;x;;;;
employing_jd_administrator_desc;This character has employed a Valyrian scholar-bureaucrat who assists with the administration of building projects.;Ce personnage a employé un savant-bureaucrate chinois qui aide à l'administration des projets de construction.;Dieser Charakter beschäftigt einen chinesischen Beamtengelehrten, der bei der Verwaltung von Bauprojekten behilflich ist.;;Este personaje ha empleado a un burócrata erudito chino que le ayude con la administración de los proyectos de construcción.;;;;;;;;;x;;;;
china_administrator;Request Scholar-Bureaucrat;Demander un érudit-bureaucrate;Beamtengelehrten anfordern;;Solicitar burócrata erudito;;;;;;;;;x;;;;
china_administrator_effect_tt;A scholar-bureaucrat will arrive at your court.\n;Un érudit-bureaucrate arrivera à votre cour.\n;Ein Beamtengelehrter wird an Eurem Hof erscheinen.\n;;Un burócrata erudito llegará a tu corte.\n;;;;;;;;;x;;;;
china_offmap_boon_decisions_enabled_trigger_cd_tt;Has NOT requested a boon from §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! within the last year\n;N'a pas demandé de faveur à l'§Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! au cours de la dernière année\n;Hat im letzten Jahr keinen Gefallen von §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! eingefordert\n;;NO solicitó un regalo al §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! el año pasado\n;;;;;;;;;x;;;;
china_offmap_tribute_decisions_enabled_trigger_cd_tt;Has NOT sent tribute to §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! within the last year\n;N'a pas envoyé de tribut à l'§Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! au cours de la dernière année\n;Hat im vergangenen Jahr KEINEN Tribut an §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! gesendet\n;;NO envió tributo a §Y[Root.Offmap.Ruler.GetShortChineseEmperorName]§! el año pasado\n;;;;;;;;;x;;;;
china_boon_available_tt;§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! has NOT granted you a boon within the last year;L'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! ne vous a pas accordé de faveur au cours de la dernière année;§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! hat Euch im vergangenen Jahr keine Gefallen gewährt;;§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! NO te concedió un regalo el año pasado;;;;;;;;;x;;;;
china_tribute_available_tt;Paying tribute to §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! is currently available.;Payer un tribut à l'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! est actuellement possible.;§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! Tribut zu zahlen ist momentan möglich.;;Está disponible pagar tributo a §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;;;;;;;;;x;;;;
peace_deal_with_china;Peace Deal With Valyria;Accord de paix avec la Chine;Friedensvertrag mit Freehold;;Acuerdo de paz con Freehold;;;;;;;;;x;;;;
peace_deal_with_china_desc;The Valyrian Freehold will not attack this ruler while the peace deal is active.;L'Freehold chinois n'attaquera pas ce seigneur tant que l'accord de paix est valable.;Das chinesische Reich wird diesen Herrscher für die Zeit des Friedensvertrages nicht angreifen.;;El imperio chino no atacará a este gobernante mientras el acuerdo de paz esté activo.;;;;;;;;;x;;;;
china_master_engineer;Request Master Engineer;Demander un maître ingénieur;Meisteringenieur anfordern;;Solicitar maestro ingeniero;;;;;;;;;x;;;;
china_administrator_allow_tt;Does NOT have a Scholar-Bureaucrat;N'a pas d'érudit-bureaucrate;Hat KEINEN Beamtengelehrten;;NO tiene un burócrata erudito;;;;;;;;;x;;;;
china_master_engineer_allow_tt;Does NOT have a Master Engineer;N'a pas de maître ingénieur;Hat KEINEN Meisteringenieur;;NO tiene un maestro ingeniero;;;;;;;;;x;;;;
china_master_engineer_effect_tt;A master engineer will join your court. While employed, they will build constructions and machines throughout your demesne, adding various bonuses to your economy, military, and technology.;Un maître ingénieur rejoindra votre cour. En poste, il fera construire des machines dans votre domaine, ajoutant ainsi divers bonus à votre économie, à votre armée et à votre technologie.;Ein Meisteringenieur wird Eurem Hof beitreten. Während der Beschäftigung wird er Konstruktionen und Maschinen im gesamten Reich bauen und gibt verschiedenen Boni für die Wirtschaft, das Militär und die Technologie.;;Un maestro ingeniero se unirá tu corte. Al emplearlo, levantará construcciones y máquinas por todos tus dominios, añadiendo bonificaciones diversas a tu economía, fuerzas militares y tecnología.;;;;;;;;;x;;;;
title_master_engineer_modifier_tt;Is a Valyrian master engineer;Est un maître ingénieur chinois;Ist ein chinesischer Meisteringenieur;;Es un maestro ingeniero chino;;;;;;;;;x;;;;
china_offmap_decisions_enabled_trigger_war_tt;Is at peace with §Y[From.GetTitledFirstName]§!;Est en paix avec [From.Get_le_Title]§Y[From.GetTitledFirstName]§!;Befindet sich mit §Y[From.GetTitledFirstName]§! im Frieden;;Está en paz con §Y[From.GetTitledFirstName]§!;;;;;;;;;x;;;;
jd_strategist;Valyrian Strategist;Stratège chinois;Chinesischer Stratege;;Estratega chino;;;;;;;;;x;;;;
jd_strategist_desc;This military mastermind has a thorough education in Valyrian strategy of war.;Ce cerveau militaire a une éducation approfondie dans la stratégie de guerre chinoise.;Dieses militärische Superhirn hat eine gründliche Ausbildung in chinesischer Kriegsführung.;;Este genio militar tiene una esmerada educación en la estrategia bélica china.;;;;;;;;;x;;;;
china_strategist;Request Strategist;Demander un stratège;Strategen anfordern;;Solicitar estratega;;;;;;;;;x;;;;
china_strategist_effect_tt;A strategist joins your court. From time to time, they will attempt to teach other soldiers about Valyrian strategies.\n;Un stratège rejoint votre cour. De temps en temps, il tentera d'enseigner à d'autres soldats des stratégies chinoises.;Ein Stratege kommt an unseren Hof. Von Zeit zu Zeit wird er versuchen, andere Soldaten in chinesischen Strategien zu unterrichten.\n;;Un estratega se une a tu corte. De vez en cuando intentará a enseñar a otros soldado las estrategias chinas.\n;;;;;;;;;x;;;;
EVTDESC_JD_20041_A;§Y[commander_teacher.GetDynName]§! has been teaching your commander §Y[commander_student.GetTitledFirstName]§! about Valyrian strategy. §Y[commander_student.GetTitledFirstName]§! gains the trait §Y'Way of the Dragon'§!.;§Y[commander_teacher.GetDynName]§! a enseigné à votre commandant, [commander_student.Get_le_Title]§Y[commander_student.GetTitledFirstName]§!, la stratégie chinoise. [commander_student.Get_Le_Title]§Y[commander_student.GetTitledFirstName]§! gagne le trait §Y'Voie du Dragon'§!.;"§Y[commander_teacher.GetDynName]§! hat Eurem Kommandanten  §Y[commander_student.GetTitledFirstName]§! chinesische Strategien beigebracht. §Y[commander_student.GetTitledFirstName]§! erhält die Eigenschaft §Y""Weg des Drachen""§!.";;§Y[commander_teacher.GetDynName]§! ha enseñado a tu comandante §Y[commander_student.GetTitledFirstName]§! estrategia china. §Y[commander_student.GetTitledFirstName]§! gana el rasgo §Y'Camino del Dragón'§!.;;;;;;;;;x;;;;
EVTDESC_JD_20041_B;§Y[commander_teacher.GetDynName]§! has been teaching your commander §Y[commander_student.GetTitledFirstName]§! about Valyrian strategy. §Y[commander_student.GetTitledFirstName]§! gains the trait §Y'Way of the Dog'§!.;§Y[commander_teacher.GetDynName]§! a enseigné à votre commandant, [commander_student.Get_le_Title]§Y[commander_student.GetTitledFirstName]§!, la stratégie chinoise. [commander_student.Get_Le_Title]§Y[commander_student.GetTitledFirstName]§! gagne le trait §Y'Voie du Chien'§!.;"§Y[commander_teacher.GetDynName]§! hat Eurem Kommandanten  §Y[commander_student.GetTitledFirstName]§! chinesische Strategien beigebracht. §Y[commander_student.GetTitledFirstName]§! erhält die Eigenschaft §Y""Weg des Hundes""§!.";;§Y[commander_teacher.GetDynName]§! ha enseñado a tu comandante §Y[commander_student.GetTitledFirstName]§! estrategia china. §Y[commander_student.GetTitledFirstName]§! gana el rasgo §Y'Camino del Perro'§!.;;;;;;;;;x;;;;
EVTDESC_JD_20041_C;§Y[commander_teacher.GetDynName]§! has been teaching your commander §Y[commander_student.GetTitledFirstName]§! about Valyrian strategy. §Y[commander_student.GetTitledFirstName]§! gains the trait §Y'Way of the Tiger'§!.;§Y[commander_teacher.GetDynName]§! a enseigné à votre commandant, [commander_student.Get_le_Title]§Y[commander_student.GetTitledFirstName]§!, la stratégie chinoise. [commander_student.Get_Le_Title]§Y[commander_student.GetTitledFirstName]§! gagne le trait §Y'Voie du Tigre'§!.;"§Y[commander_teacher.GetDynName]§! hat Eurem Kommandanten  §Y[commander_student.GetTitledFirstName]§! chinesische Strategien beigebracht. §Y[commander_student.GetTitledFirstName]§! erhält die Eigenschaft §Y""Weg des Tigers""§!.";;§Y[commander_teacher.GetDynName]§! ha enseñado a tu comandante §Y[commander_student.GetTitledFirstName]§! estrategia china. §Y[commander_student.GetTitledFirstName]§! gana el rasgo §Y'Camino del Tigre'§!.;;;;;;;;;x;;;;
EVTDESC_JD_20041_D;§Y[commander_teacher.GetDynName]§! has been teaching your commander §Y[commander_student.GetTitledFirstName]§! about Valyrian strategy. §Y[commander_student.GetTitledFirstName]§! gains the trait §Y'Way of the Leopard'§!.;§Y[commander_teacher.GetDynName]§! a enseigné à votre commandant, [commander_student.Get_le_Title]§Y[commander_student.GetTitledFirstName]§!, la stratégie chinoise. [commander_student.Get_Le_Title]§Y[commander_student.GetTitledFirstName]§! gagne le trait §Y'Voie du Léopard'§!.;"§Y[commander_teacher.GetDynName]§! hat Eurem Kommandanten  §Y[commander_student.GetTitledFirstName]§! chinesische Strategien beigebracht. §Y[commander_student.GetTitledFirstName]§! erhält die Eigenschaft §Y""Weg des Leoparden""§!.";;§Y[commander_teacher.GetDynName]§! ha enseñado a tu comandante §Y[commander_student.GetTitledFirstName]§! estrategia china. §Y[commander_student.GetTitledFirstName]§! gana el rasgo §Y'Camino del Leopardo'§!.;;;;;;;;;x;;;;
jd_prince;Valyrian Prince;Prince chinois;Chinesischer Prinz;;Príncipe chino;;;;;;;;;x;;;;
jd_prince_desc;This man is a prince of the Valyrian imperial family.;Cet homme est un prince de la famille impériale chinoise.;Dieser Mann ist ein Prinz der chinesischen Kaiserfamilie.;;Este hombre es un príncipe de la familia imperial china.;;;;;;;;;x;;;;
jd_princess;Valyrian Princess;Princesse chinoise;Chinesische Prinzessin;;Princesa china;;;;;;;;;x;;;;
jd_princess_desc;This woman is a princess of the Valyrian imperial family.;Cette femme est une princesse de la famille impériale chinoise.;Diese Frau ist eine Prinzessin der chinesischen Kaiserfamilie.;;Esta mujer es una princesa de la familia imperial china;;;;;;;;;x;;;;
china_imperial_marriage;Request Imperial Marriage;Demander un mariage impérial;Kaiserliche Hochzeit anfordern;;Solicitar matrimonio imperial;;;;;;;;;x;;;;
china_imperial_marriage_prince_effect_tt;An imperial prince of the §Y[Root.Offmap.GetFullName]§! arrives to marry §Y[FromFrom.GetTitledFirstName]§!.;Un prince impérial de l'§Y[Root.Offmap.GetFullName]§! arrive pour épouser [FromFrom.Get_le_Title]§Y[FromFrom.GetTitledFirstName]§!.;Ein kaiserlicher Prinz aus §Y[Root.Offmap.GetFullName]§! erscheint, um §Y[FromFrom.GetTitledFirstName]§! zu heiraten.;;Un príncipe imperial del §Y[Root.Offmap.GetFullName]§! llega para casarse con §Y[FromFrom.GetTitledFirstName]§!.;;;;;;;;;x;;;;
china_imperial_marriage_princess_effect_tt;An imperial princess of the §Y[Root.Offmap.GetFullName]§! arrives to marry §Y[FromFrom.GetTitledFirstName]§!.;Une princesse impériale de l'§Y[Root.Offmap.GetFullName]§! arrive pour épouser [FromFrom.Get_le_Title]§Y[FromFrom.GetTitledFirstName]§!.;Eine kaiserliche Prinzessin aus §Y[Root.Offmap.GetFullName]§! erscheint, um §Y[FromFrom.GetTitledFirstName]§! zu heiraten.;;Una princesa imperial del §Y[Root.Offmap.GetFullName]§! llega para casarse con §Y[FromFrom.GetTitledFirstName]§!.;;;;;;;;;x;;;;
china_stable;Stable;Stable;Stabil;;Estable;;;;;;;;;x;;;;
china_unrest;Unrest;Agitation;Unruhe;;Descontento;;;;;;;;;x;;;;
china_civil_war;Civil War;Guerre civile;Bürgerkrieg;;Guerra civil;;;;;;;;;x;;;;
china_dothraki_invasion;Being Invaded by the Dothraki;Invasion par les Mongols;Wird von Mongolen überfallen;;Invadidos por los mongoles;;;;;;;;;x;;;;
china_rhoynish_invasion;Being Invaded by the Rhoynar;;;;;;;;;;;;;x;;;;
china_ghiscari_invasion;Being Invaded by the Ghiscari;;;;;;;;;;;;;x;;;;
china_famine;Great Famine;Grande famine;Große Hungersnot;;Gran hambruna;;;;;;;;;x;;;;
china_plague;Devastating Plague;Épidémie dévastatrice;Verheerende Pest;;Peste devastadora;;;;;;;;;x;;;;
china_internal_purge;Internal Purge;;;;;;;;;;;;;x;;;;
china_economic_ruin;Economic Ruin;;;;;;;;;;;;;x;;;;
china_golden_age;Golden Age;Age d'or;Goldenes Zeitalter;;Edad de Oro;;;;;;;;;x;;;;
TXT_FAVOR;Favor;Grâce;Gunst;;Gracia;;;;;;;;;x;;;;
china_china_full;Valyrian Freehold;Freehold chinois;Chinesisches Kaiserreich;;Imperio chino;;;;;;;;;x;;;;
DEATH_WENT_TO_CHINA_NO_KILLER;left their old life behind to travel to the Valyrian Freehold;a abandonné son ancienne vie pour se rendre en Chine;ließ das alte Leben zurück und reiste ins Valyrian Freehold;;dejó su vida atrás para viajar al Imperio chino;;;;;;;;;x;;;;
DEATH_WENT_TO_CHINA;left their old life behind to travel to the Valyrian Freehold, on the order of $KILLER$;a abandonné son ancienne vie pour se rendre en Chine, sur ordre de $KILLER$;ließ das alte Leben zurück und reiste ins Kaiserreich Freehold auf Befehl von $KILLER$;;dejó su vida atrás para viajar al Imperio chino por orden de $KILLER$;;;;;;;;;x;;;;
DEATH_IN_CHINA;Died in Valyria;;;;;;;;;;;;;x;;;;
DEATH_WENT_BACK_TO_CHINA;Made the journey back to Valyria;;;;;;;;;;;;;x;;;;
will_leave_for_china_tt;§Y[This.GetTitledName]§! will leave [This.GetHerHis] current life behind and make a new one for [This.GetHerselfHimself] in Valyria.\n;[This.Get_Le_Title]§Y[This.GetTitledName]§! quittera sa vie actuelle pour en fonder une nouvelle dans l'Orient lointain.\n;§Y[This.GetTitledName]§! lässt [This.GetHerHis] momentanes Leben zurück und macht einen Neuanfang im entfernten Osten.\n;;§Y[This.GetTitledName]§! deja atrás su vida actual para buscarse una nueva en el lejano Oriente.\n;;;;;;;;;x;;;;
String_such_a_wealthy_realm;how the realm is so wealthy, and every inch of the Freehold seems to be used to house or nourish its people;de la richesse du Royaume, de chaque centimètre de l'Freehold du Milieu qui semble être utilisé pour abriter ou nourrir son peuple;wie reich das Reich ist und wie jeder Zentimeter des mittleren Reiches dafür benutzt wird, seine Bevölkerung zu nähren oder zu beherbergen;;lo rico que es el reino y cómo cada rincón del Reino Central parece usarse para alojar o alimentar a su pueblo.;;;;;;;;;x;;;;
String_so_full_of_life;how the Freehold is so full of life, and there are people everywhere;de l'Freehold du Milieu, tellement plein de vie, avec des gens partout;wie das mittlere Königreich voller Leben ist und es überall Menschen gibt;;cómo el Reino Central está tan lleno de vida, con gente por doquier;;;;;;;;;x;;;;
String_the_street_jugglers;the entertainment found in the streets of one particular Valyrian town – there would be jugglers, marionettes, acrobats, as well as shadow plays and mysterious storytellers;des divertissements trouvés dans les rues d'une ville chinoise - il y aurait des jongleurs, des marionnettes, des acrobates, ainsi que des jeux d'ombres et des mystérieux conteurs;wie in den Straßen einer bestimmten chinesischen Stadt Vergnügung gefunden werden kann und es dort Jongleure, Puppenspieler, Akrobaten, Schattenspiele und mysteriöse Geschichtenerzähler gibt.;;el entretenimiento encontrado en un pueblo chino en particular, con malabaristas, marioneta, acróbatas… así como teatro de sombras y cuentacuentos misteriosos;;;;;;;;;x;;;;
String_the_many_festivals;the Valyrian custom of celebrating their gods' birthdays – they hold festivals, where both actors and priests paint their faces and perform songs of magic ritual together;de la coutume chinoise de célébrer les anniversaires de leurs dieux - ils organisent des fêtes, où les acteurs et les prêtres peignent leur visage et font des chants de rituel magique ensemble;, dass die Chinesen Bräuche haben, um die Geburtstage ihrer Götter zu feiern, dass sie Feste halten, wo sich sowohl Schauspieler als auch Priester die Gesichter bemalen und gemeinsam Lieder des magischen Rituals aufführen ;;la costumbre china de celebrar los cumpleaños de sus dioses. Celebran festivales donde actores y sacerdotes se pintan el rostro e interpretan juntos canciones de rituales mágicos;;;;;;;;;x;;;;
String_crowded_water_routes;how any water route through a Valyrian town seems to be constantly crowded by traffic, with ships and boats everywhere;de comment toute voie d'eau à travers une ville chinoise semble être constamment encombrée par la circulation, avec des bateaux partout;wie jeder Wasserweg durch eine chinesische Stadt ständig vom Verkehr überfüllt ist und man überall Boote und Schiffe sieht;;cómo cualquier ruta fluvial que atraviesa un pueblo chino parece estar llena de tráfico con barcos y botes por doquier;;;;;;;;;x;;;;
String_artisan_potters;how the Valyrians have some truly artisan pottery – one type is made to look as if it has shattered, yet it somehow holds together, as if by magic;de la véritable poterie artisanale chinoise, comme celle conçue pour avoir l'air brisée, mais dont les morceaux s'emboîtent comme par magie;, dass die Chinesen eine beachtliche handwerkliche Töpferei haben, in der eine Sorte so gemacht ist, als sähe sie zersprungen aus, aber irgendwie zusammenhält, wahrlich magisch;;cómo los chinos tienen una cerámica realmente artesanal. Hay una clase parece rota, pero se mantiene unida como por arte de magia;;;;;;;;;x;;;;
String_the_melody_of_Chinese_language;the melody of the Valyrian language, and the delicate intonations of certain words;de la mélodie de la langue chinoise et de l'intonation délicate de certains mots;, dass die chinesische Sprache melodisch klingt und manche Wörter zärtliche Intonationen besitzen;;lo melódico del lenguaje chino y las delicadas entonaciones de ciertas palabras;;;;;;;;;x;;;;
String_the_construction_of_Chinese_boats;the construction of certain Valyrian boats, with fine carvings painted in bright colors, and how they always carry names such as 'Hundred Flowers' or 'Golden Lion';de la construction de certains bateaux chinois, avec des sculptures fines peintes en couleurs vives, et de comment ils portent toujours des noms tels que 'Cent Fleurs' ou 'Lion d'Or';"wie bestimmte chinesische Bote mit feinen Schnitzereien gebaut sind und in hellen Farben angemalt sind und wie sie immer Namen wie ""Hundert Blumen"" oder ""Goldener Löwe"" tragen";;la construcción de ciertos barcos chinos con tallas delicadas pintadas de colores brillantes y nombres como 'Cien flores' o 'León dorado';;;;;;;;;x;;;;
String_the_Chinese_food;the food of the Freehold, involving delicious shellfish, vegetables, fruit, and sweetmeats;de la nourriture de l'Freehold du Milieu, impliquant de délicieux mollusques, légumes, fruits et sucreries;, wie gut das Essen im mittleren Königreich ist, mit seinen köstlichen Schalentieren, Gemüsesorten, Obstsorten und Süßigkeiten;;la comida del Reino Central que incluye delicioso marisco, verduras, frutas y confites;;;;;;;;;x;;;;
String_the_intricacies_of_Chinese_government;the intricacies of Valyrian government and the seemingly supernatural efficiency displayed by its scholar-officials;des subtilités du gouvernement chinois et de l'efficacité apparemment surnaturelle affichée par ses fonctionnaires savants;, wie feingestrickt die chinesische Regierung ist und die scheinbar übernatürliche Effizienz der Beamtengelehrten;;las complejidades del gobierno chino y la aparente eficacia sobrenatural que demuestran sus funcionarios eruditos;;;;;;;;;x;;;;
String_the_artistic_sensibility;the level of literary and artistic sensibility the Valyrians display, and the elegance of their calligraphy;du niveau de sensibilité littéraire et artistique affiché par les Chinois et l'élégance de leur calligraphie;welch Niveau der literarischen und künstlerischen Sensibilität die Chinesen ausstrahlen, sowie die Eleganz ihrer Kalligraphie;;el nivel de alfabetización y sensibilidad artística que muestran los chinos, y la elegancia de su caligrafía;;;;;;;;;x;;;;
