CHRONICLE_OF_HOUSE;The Chronicle of the glorious \nHouse [GetOnlyDynastyName];Les Chroniques de la glorieuse \nMaison [GetOnlyDynastyName];Die Chronik des \nHauses [GetOnlyDynastyName];;La Crónica de la \nCasa de [GetOnlyDynastyName];;;;;;;;;x;;
CHRONICLE_START;This is the Chronicle of House [Root.GetOnlyDynastyName], in which is contained the record of its yearly fortunes, glories and difficulties.;Voici les chroniques de la maison [Root.GetOnlyDynastyName], qui relatent la gloire, la fortune et les mésaventures des années passées.;Dies ist die Chronik des Hauses [Root.GetOnlyDynastyName], in der die Glücksfälle, der Ruhm und die Schwierigkeiten jeden Jahres verzeichnet sind.;;Esta es la Crónica de la Casa de [GetOnlyDynastyName], la cual contiene el registro de sus fortunas anuales, sus glorias y sus dificultades.;;;;;;;;;x;;
BOOKMARK_BLABLA;Here begins your History.\nChoose your startdate and \nwrite your dynasty's epic!;Ici commence votre Histoire.\n Choisissez votre date de départ et écrivez l'épopée de votre dynastie !;;;;;;;;;;;;x;;
FE_BOOKEDMARKED;Bookmarked Dates: ;Dates Majeures;;;;;;;;;;;;x
LA_PROVINCE_EST;This province is ;Cette est ;Titel;;Titulos:;;;;;;;;;x
PV_TRADE_POST;Trade Post: ;Comptoir;Handelsposten : ;;Puesto comercial : ;;;;;;;;;x
PV_FORT;Fort;Fort;Festung;;Fortaleza;;;;;;;;;x
TRADE_ZONE;Trade Zone;Zone marchande;Handelszone;;Zona Comercial;;;;;;;;;x
TOTAL_TRADE_FAMILY;Family;Famille;Familie;;Familia ;;;;;;;;;x
LAW_VOTE_STATUS_ZEUS;Voting for: \n§Y$LAW$§! \n Backers: $YES|G$ / Opponents: $NO|R$ / Undecided: $WAITING$;Vote en cours :\n§Y$LAW$§! \nPour : $YES|G$ / Contre : $NO|R$ / Indécis : $WAITING$;
COUNTY;County;Les;;;;;;;;;;;x
DUCAL;Ducal;Les;;;;;;;;;;;x
ROYAL;Royal;Les;;;;;;;;;;;x
IMPERIAL;Imperial;Les;;;;;;;;;;;x
LAWS;Laws;lois;;;;;;;;;;;x
ZeusDLC;Conclave;Conclave;;;;;;;;;;;x
ConclaveDLC;Conclave;Conclave;Konklave;;Cónclave;;;;;;;;;x
MINOR_TITLES;Minor Titles;Titres mineurs;;;;;;;;;;;x
HT_SHOW_HONORARY_TITLES;Show Honorary Titles;Afficher les titres honorifiques;;;;;;;;;;;x
HT_SHOW_COMMANDERS;Show Commanders;Afficher les commandants;;;;;;;;;;;x
COMBATS_INTERFACE_LABEL;§YLand Combat§!;§YBatailles§!;§YGefechte§!;§YWalki§!;§YCombates§!;§YCombattimento terrestre§!;§YCsaták§!;§YPozemní boj§!;;;;;;x
SAVE_RULES;Save Rules;Sauvegarder les règles;Regeln speichern;;Guardar reglas;;;;;;;;;x
LOAD_RULES;Load Rules;Charger les règles;Regeln laden;;Cargar reglas;;;;;;;;;x
SHOW_COMMANDERS_ONLY;Show Commanders Only;Ne voir que les commandants;Nur Befehlshaber anzeigen;;Mostrar solo comandantes;;;;;;;;;x
COUNCIL_CONSIDERATION_LAW;The council is currently considering:\n$LAW|Y$;Le Conseil étudie la loi : \n$LAW|Y$;Der Rat zieht derzeit Folgendes in Erwägung: $LAW|Y$;;El consejo está considerando una ley: $LAW|Y$.;;;;;;x
COUNCIL_VOTE_LAW;The council is currently voting on:\n$LAW|Y$;Le Conseil vote sur : \n$LAW|Y$;Der Rat stimmt derzeit über Folgendes ab: $LAW|Y$;;El consejo está votando en relación a $LAW|Y$.;;;;;;x
#PLOTTERS_LABEL;Known Plots;Complots découverts;Verschwörungen;;Complots Conocidos;;;;;;;;;x
