#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS #####
estates_3;Moderate Estates;Domaines raisonnables;Mäßige Anwesen;;;;;;;;;;;x;
estates_4;Large Estates;Grands domaines;Große Anwesen;;;;;;;;;;;x;
estates_5;Major Estates;Très grands domaines;Sehr Große Anwesen;;;;;;;;;;;x;
obj_gain_estates_1_title;Gain Estates;Gagner des domaines;Erhalte Anwesen;;;;;;;;;;;x;
obj_gain_estates_1_desc;[This.GetTitledFirstName] wants a landed estate to provide for [This.GetHerHim]self and [This.GetHerHis] family.;[This.GetTitledFirstName] veut un domaine terrien pour subvenir  à ses besoins et à ceux de sa famille.;[This.GetTitledFirstName] möchte einen Anwesen für [This.GetHerHim] selbst und [This.GetHerHis] Familie.;;;;;;;;;;;x;
obj_gain_estates_2_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;;;;;;;;;;x;
obj_gain_estates_2_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est pas content de la taille de ses domaines;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;;;;;;;;;;x;
obj_gain_estates_3_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;;;;;;;;;;x;
obj_gain_estates_3_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est pas content de la taille de ses domaines;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;;;;;;;;;;x;
obj_gain_estates_4_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;;;;;;;;;;x;
obj_gain_estates_4_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est pas content de la taille de ses domaines;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;;;;;;;;;;x;
obj_gain_estates_5_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;;;;;;;;;;x;
obj_gain_estates_5_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est pas content de la taille de ses domaines;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;;;;;;;;;;x;
EVTDESC110040;I have arranged for the sale of my old estates so that I can concentrate my wealth in the lands that I now hold.;Je me suis arrangé pour vendre mes anciens domaines afin que je puisse consacrer ma richesse aux terres que je détiens.;Ich habe den Verkauf meinen alten Anwesen angeordnet, so dass ich meinen Reichtum zu den Ländern, die ich jetzt halte, zusammen sammeln kann.;;;;;;;;;;;x
EVTDESC37501;Today, my [GetFromRelation] [From.GetFirstName] asked me for landed estates to live off...;Aujourd'hui, mon [GetFromRelation] [From.GetFirstName] m'a demandé la permission de quitter de château familiale et souhaiterai que je lui accorde un domaine ..;Heute hat mein [GetFromRelation] [From.GetFirstName] mich dazu gebittet [From.GetHerHim] Grundbesitz zu geben um davon zu Leben...;;;;;;;;;;;x
EVTOPTA37501;I gave [From.GetHerHim] what [From.GetSheHe] wanted;Je lui ai donné ce qu'[From.GetSheHe] voulait;Ich gabe [From.GetHerHim] was [From.GetSheHe] wollte;;;;;;;;;;;x
EVTOPTB37501;I told [From.GetHerHim] I could not afford it...;Je lui ai dit que je ne pourrais pas me le permettre ...;Ich sagte [From.GetHerHim] das ich es nicht gewähren könnte...;;;;;;;;;;;x
EVTOPTA1000182438;A minor estate;Un domaine modeste;Einen kleinen Anwesen;;;;;;;;;;;x
EVTOPTB1000182438;A moderate estate;Un domaine moyen;Einen mäßigen Anwesen;;;;;;;;;;;x
EVTOPTC1000182438;A large estate;Un grand domaine;Einen großen Anwesen;;;;;;;;;;;x
EVTOPTD1000182438;None at all!;Rien du tout!;Überhaupt nichts!;;;;;;;;;;;x
EVTDESC1000182438;I have decided to grant estates and land to [From.GetFullName], but how much land will [From.GetSheHe] receive?;J'ai décidé de concéder des domaines et des terres à [From.GetFullName], mais combien de titres va-t-[From.GetSheHe] recevoir ?;Ich habe mich dazu beschlossen, Ländereien und Grundstücke an [From.GetFullName] zu gewähren, aber wie viel Land wird [From.GetSheHe] erhalten?;;I have decided to grant estates and land to [From.GetFullName], but how much land will [From.GetSheHe] receive?;;;;;;;;;x
