#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WESTEROS_RULER;High King;;;;;;;;;;;;;x
WESTEROS_RULER_F;High Queen;;;;;;;;;;;;;x
DORNE_RULER;Prince;;;;;;;;;;;;;x
DORNE_RULER_F;Princess;;;;;;;;;;;;;x
HELLHOLT_RULER;Desert Prince;;;;;;;;;;;;;x 
HELLHOLT_RULER_F;Desert Princess;;;;;;;;;;;;;x
RED_MOUNTAINS_RULER;Bone King;;;;;;;;;;;;;x
RED_MOUNTAINS_RULER_F;Bone Queen;;;;;;;;;;;;;x
BONEWAY_RULER;Bone King;;;;;;;;;;;;;x
EAST_RULER;Marshal;;;;;;;;;;;;;;x 
EAST_RULER_F;Marshal;;;;;;;;;;;;;;x 
WATER_RULER;Water Prince;;;;;;;;;;;;;;x 
WATER_RULER_F;Water Princess;;;;;;;;;;;;;;x 
VALE_RULER;High King;;;;;;;;;;;;;;x 
VALE_RULER_F;High Queen;;;;;;;;;;;;;;x 
RUNE_RULER; Bronze King;;;;;;;;;;;;;;x 
RUNE_RULER_F;Bronze Queen;;;;;;;;;;;;;;x 
LOW_RULER;Low King;;;;;;;;;;;;;;x 
LOW_RULER_F;Low King;;;;;;;;;;;;;;x 
LION_RULER;Lion King;;;;;;;;;;;;;;x 
LION_RULER_F;Lion Queen;;;;;;;;;;;;;;x 
FAIR_RULER;Fair King;;;;;;;;;;;;;;x 
FAIR_RULER_F;Fair Queen;;;;;;;;;;;;;;x 
CRAG_RULER;Hooded King;;;;;;;;;;;;;;x 
CRAG_RULER_F;Hooded Queen;;;;;;;;;;;;;;x 
DEEP_RULER;Gold King;;;;;;;;;;;;;;x 
DEEP_RULER_F;Gold Queen;;;;;;;;;;;;;;x 
BRAAVOS_RULER;Sealord;;;;;;;;;;;;;;x 
BRAAVOS_RULER_F;Seamaiden;;;;;;;;;;;;;;x 
VALYRIAN_RULER;Viceroy;;;;;;;;;;;;;;x 
VALYRIAN_RULER_F;Viceroy;;;;;;;;;;;;;;x 
FREE_CITIES_RULER;Magister;;;;;;;;;;;;;;x 
FREE_CITIES_RULER_F;Magister;;;;;;;;;;;;;;x 
WALL_RULER;Ice King;;;;;;;;;;;;;;x 
WALL_RULER_F;Ice Queen;;;;;;;;;;;;;;x 
PIRATE_RULER;Raider King;;;;;;;;;;;;;;x 
PIRATE_RULER_F;Raider Queen;;;;;;;;;;;;;;x 
STAR_RULER;Star King;;;;;;;;;;;;;;x 
STAR_RULER_F;Star Queen;;;;;;;;;;;;;;x 
