#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;x
#FREE FOLK;;;;;;;;;;;x
andal;Andal;Andal;Andal;;Andal;;;;;;x
#THE NORTH;;;;;;;;;;;x
northlander;Northlander;Northlander;Northlander;;Northlander;;;;;;x
#BLACKWATER BAY;;;;;;;;;;;x
blackwaterman;Blackwatermen;Blackwatermen;Blackwatermen;;Blackwatermen;;;;;;x
crownlander;Crownlander;Crownlander;Crownlander;;Crownlander;;;;;;x
#THE RIVERLANDS;;;;;;;;;;;x
riverlander;Riverlander;Riverlander;Riverlander;;Riverlander;;;;;;x
freymen;Freymen;Freymen;Freymen;;Freymen;;;;;;x
#THE STORMLANDS;;;;;;;;;;;x
stormlander;Stormlander;Stormlander;Stormlander;;Stormlander;;;;;;x
marcher;Marcher;Marcher;Marcher;;Marcher;;;;;;x
waterman;Watermen;Watermen;Watermen;;Watermen;;;;;;x
wrathlander;Wrathlander;Wrathlander;Wrathlander;;Wrathlander;;;;;;x
#THE REACH;;;;;;;;;;;x
reachman;Reachmen;Reachmen;Reachmen;;Reachmen;;;;;;x
shieldmen;Shieldmen;Shieldmen;Shieldmen;;Shieldmen;;;;;;x
grovelander;Grovelander;Grovelander;Grovelander;;Grovelander;;;;;;x
wynelander;Wynelander;Wynelander;Wynelander;;Wynelander;;;;;;x
#THE VALE;;;;;;;;;;;x
valeman;Valemen;Valemen;Valemen;;Valemen;;;;;;x
lowland_valeman;Lowland Valemen;Lowland Valemen;Lowland Valemen;;Lowland Valemen;;;;;;x
#THE WESTERLANDS;;;;;;;;;;;x
westermen;Westerlander;Westerlander;Westerlander;;Westerlander;;;;;;x
goldman;Goldmen;Goldmen;Goldmen;;Goldmen;;;;;;x
cornmen;Cornlander;Cornlander;Cornlander;;Cornlander;;;;;;x
#IRONBORN & DORNISH;;;;;;;;;;;x
#Ironborn;;;;;;;;;;;x
pykem;Pykem;Pykem;Pykem;;Pykem;;;;;;x
harlawn;Harlawn;Harlawn;Harlawn;;Harlawn;;;;;;x
iron_islander;Ironborn;Ironborn;Ironborn;;Ironborn;;;;;;x
#Dornish;;;;;;;;;;;x
dornish;Dornish;Dornish;Dornish;;Dornish;;;;;;x
salt_dornish;Salt Dornish;Salt Dornish;Salt Dornish;;Salt Dornish;;;;;;x
sand_dornish;Sand Dornish;Sand Dornish;Sand Dornish;;Sand Dornish;;;;;;x
stone_dornish;Stone Dornish;Stone Dornish;Stone Dornish;;Stone Dornish;;;;;;x
andal_dornish;Andal Dornish;Andal Dornish;Andal Dornish;;Andal Dornish;;;;;;x
#ESSOS;;;;;;;;;;;x
essos_group;Essosi;Essosi;Essosi;;Essosi;;;;;;x
myrman;Myrmen;Myrmen;Myrmen;;Myrmen;;;;;;x
tyroshi;Tyroshi;Tyroshi;Tyroshi;;Tyroshi;;;;;;x
lysene;Lysene;Lysene;Lysene;;Lysene;;;;;;x
braavosi;Braavosi;Braavosi;Braavosi;;Braavosi;;;;;;x
lorathi;Lorathi;Lorathi;Lorathi;;Lorathi;;;;;;x
pirate;Pirate;Pirate;Pirate;;Pirate;;;;;;x
pentoshi;Pentoshi;Pentoshi;Pentoshi;;Pentoshi;;;;;;x
#VALYRIAN;;;;;;;;;;;x
high_valyrian;High Valyrian;High Valyrian;High Valyrian;;High Valyrian;;;;;;x
low_valyrian;Low Valyrian;Low Valyrian;Low Valyrian;;Low Valyrian;;;;;;x
#INVADER;;;;;;;;;;;x
dothraki_group;Dothraki;Dothraki;Dothraki;;Dothraki;;;;;;x
dothraki;Dothraki;Dothraki;Dothraki;;Dothraki;;;;;;x
rhoynish_group;Rhoynar;Rhoynar;Rhoynar;;Rhoynar;;;;;;x
rhoynish;Rhoynar;Rhoynar;Rhoynar;;Rhoynar;;;;;;x
orphans_of_the_greenblood;Greenblood;Greenblood;Greenblood;;Greenblood;;;;;;x
ghiscari_group;Ghiscari;Ghiscari;Ghiscari;;Ghiscari;;;;;;x
ghiscari;Ghiscari;Ghiscari;Ghiscari;;Ghiscari;;;;;;x
#MISC;;;;;;;;;;;x
melnibonean;Melnibonean;;;;;;;;;;x
