#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
consolidate_realm_desc;Consolidation of the realm destroys all held petty Kingdoms, including those held by vassals, and unites the Kingdom.;;;;;;;;;x
form_dragonstone;Form Dragonstone;;;;;;;;;x
form_dragonstone_desc;Take upon the Crown of Dragonstone, and announce to the world the new Kingdom!;;;;;;;;;x
employ_great_warrior;Employ a Great Warrior;;;;;;;;;x
employ_great_warrior_desc;Bring a legendary warrior to your court.;;;;;;;;;;;;
name_page_target;Name as your Page;;;;;;;;;x
name_page_target_desc;Name the target character as being one of your pages. It is a trait that will expire upon reaching the age of sixteen.;;;;;;;;;x
name_squire_target;Name as your Squire;;;;;;;;;x
name_squire_target_desc;Name the target character as being one of your squires. It will last for the rest of their life or until they are Knighted.;;;;;;;;;x
#
title_generic_ser;Ser;;;;;;;;;x
title_generic_ser_desc;Ser;;;;;;;;;x
#
EVTDESCDAWN.2;The greatsword Dawn was forged from the heart of this fallen star. Throughout time only the greatest of warriors of House Dayne can claim and wield this magical sword. It is said that the sword contains magical quantities that makes its wielder an even better warrior. You now claim the sword Dawn and will forever be known in history as [Root.GetTitledFirstName] 'The Sword Of The Morning' [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTADAWN.2;I shall fight with honor!;;;;;;;;;x
EVTDESCDAWN.3;According to legend, Samwell 'Starsmith' the founder of House Dayne tracked a falling star to the mouth of the Torentine. The greatsword Dawn was forged from the heart of this fallen star. Throughout time only the greatest of warriors of House Dayne can claim and wield this magical sword. The Sword Of The Morning rises again and already is praised for their honor and chivalry.;;;;;;;;;x
EVTOPTADAWN.3;I wish you good fortune in the wars to come.;;;;;;;;;x
EVTOPTBDAWN.3;Sword of the Morning or not, filthy dornish men, all are liars.;;;;;;;;;x
#
CONFIRM_DISBAND_DESC2;Due to enemy presence in our homelands, only $NUM$ of $TOTAL$ troops will be able to return home.;;;;;;x  #This is the line you were looking for Rowan, it just needs a different description
CONFIRM_DISBAND_DESC5;Due to not being in friendly territory, only $NUM$ of $TOTAL$ troops will be able to return home.;;;;;;x  #And the other one incase you want to change something about that
#
