ca_marchercastle;Marcher Castle;;;;;;;;;;x,,,,,,
ca_marchercastle_desc;The castles of the Dornish Marches are among the strongest of the realm, and for good reason, for seldom has a generation passed when they have not faced some new attack. They were established to create a bulwark against incursons from the Dornish and the Kings of the Reach. The Marcher lords are duly proud of their history as key defenders of the realm of the Storm Kings, and many are ballads and tales of their valor.\n\nThe longbows of the Marches are especially famed, and many of the most famous bowmen of song and history are said to hail from the Dornish Marches.;;;;;;;;;;;x,,
ca_starfall_desc;Starfall is the ancestral seat of House Dayne. It is located in the western Red Mountains on an island in the Torentine where it pours into the Summer Sea. The castle, which includes a tower called the Palestone Sword, guards the western arm of Dorne.;;;;;;;;;;;;;;;;x,,,,
ca_asoiaf_ironshipyard;Ironborn Shipyard;;;;;;;;;;;;;x,,,,,,
ca_asoiaf_redwyneshipyard;Arbor Shipyard;;;;;;;;;;;;;x,,,,,,
ca_asoiaf_lannshipyard;Lannisport Shipyard;;;;;;;;;;;;;x,,,,,,
ca_asoiaf_oldtownshipyard;Oldtown Shipyard;;;;;;;;;;;;;x,,,,,,
ca_asoiaf_shieldshipyard;Shield Isles Shipyard;;;;;;;;;;;;;x,,,,,,
ca_wildling_barracks;Small Wildling Barracks;;;;;;;;;;;;;x,,,,,,
ca_wildling_barracks2;Wildling Barracks;;;;;;;;;;;;;x,,,,,,
ca_wildling_barracks3;Large Wildling Barracks;;;;;;;;;;;;;x,,,,,,
ca_wildling_barracks4;Fortified Wildling Barracks;;;;;;;;;;;;;x,,,,,,
tb_wildling_barracks;Small Wildling Barracks;;;;;;;;;;;;;x,,,,,,
tb_wildling_barracks2;Wildling Barracks;;;;;;;;;;;;;x,,,,,,
tb_wildling_barracks3;Large Wildling Barracks;;;;;;;;;;;;;x,,,,,,
tb_wildling_barracks4;Fortified Wildling Barracks;;;;;;;;;;;;;x,,,,,,
ca_culture_pentoshi_1;Small Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_pentoshi_2;Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_pentoshi_3;Large Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_pentoshi_4;Huge Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_myrman_1;Small Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_myrman_2;Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_myrman_3;Large Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_myrman_4;Huge Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_tyroshi_1;Small Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_tyroshi_2;Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_tyroshi_3;Large Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_tyroshi_4;Huge Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_lysene_1;Small Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_lysene_2;Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_lysene_3;Large Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_lysene_4;Huge Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_braavosi_1;Small Liberation Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_braavosi_2;Liberation Camp;;;;;;;;;;;;;;x,,,,,,
ca_culture_braavosi_3;Large Liberation Holdfast;;;;;;;;;;;;;;x,,,,,,
ca_culture_braavosi_4;Huge Liberation Fort;;;;;;;;;;;;;;x,,,,,,
ca_culture_lorathi_1;Small Maze Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_lorathi_2;Maze Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_lorathi_3;Large Maze Financiers;;;;;;;;;;;;;;x,,,,,,
ca_culture_lorathi_4;Huge Maze Fort;;;;;;;;;;;;;;x,,,,,,
ca_culture_pirate_1;Light Pirate Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_pirate_2;Pirate Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_pirate_3;Captain's Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_pirate_4;Huge Captain's Fort;;;;;;;;;;;;;;x,,,,,,
ca_culture_valyrian_1;Light Dragonhold;;;;;;;;;;;;;;x,,,,,,
ca_culture_valyrian_2;Dragonhold;;;;;;;;;;;;;;x,,,,,,
ca_culture_valyrian_3;Large Dragonhold;;;;;;;;;;;;;;x,,,,,,
ca_culture_valyrian_4;Huge Dragonhold;;;;;;;;;;;;;;x,,,,,,
ca_culture_thenn_1;Light Thenn Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_thenn_2;Thenn Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_thenn_3;Large Thenn Levy;;;;;;;;;;;;;;x,,,,,,
ca_culture_thenn_4;Huge Thenn Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_pentoshi_1;Small Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_pentoshi_2;Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_pentoshi_3;Large Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_pentoshi_4;Huge Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_myrman_1;Small Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_myrman_2;Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_myrman_3;Large Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_myrman_4;Huge Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_tyroshi_1;Small Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_tyroshi_2;Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_tyroshi_3;Large Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_tyroshi_4;Huge Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_lysene_1;Small Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_lysene_2;Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_lysene_3;Large Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_lysene_4;Huge Merchant Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_braavosi_1;Small Liberation Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_braavosi_2;Liberation ctmp;;;;;;;;;;;;;;x,,,,,,
ct_culture_braavosi_3;Large Liberation Holdfast;;;;;;;;;;;;;;x,,,,,,
ct_culture_braavosi_4;Huge Liberation Fort;;;;;;;;;;;;;;x,,,,,,
ct_culture_lorathi_1;Small Maze Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_lorathi_2;Maze Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_lorathi_3;Large Maze Financiers;;;;;;;;;;;;;;x,,,,,,
ct_culture_lorathi_4;Huge Maze Fort;;;;;;;;;;;;;;x,,,,,,
ct_culture_pirate_1;Light Pirate Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_pirate_2;Pirate Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_pirate_3;ctptain's Levy;;;;;;;;;;;;;;x,,,,,,
ct_culture_pirate_4;Huge ctptain's Fort;;;;;;;;;;;;;;x,,,,,,
ct_culture_valyrian_1;Light Dragonhold;;;;;;;;;;;;;;x,,,,,,
ct_culture_valyrian_2;Dragonhold;;;;;;;;;;;;;;x,,,,,,
ct_culture_valyrian_3;Large Dragonhold;;;;;;;;;;;;;;x,,,,,,
ct_culture_valyrian_4;Huge Dragonhold;;;;;;;;;;;;;;x,,,,,,
tb_culture_thenn_1;Light Thenn Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_thenn_2;Thenn Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_thenn_3;Large Thenn Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_thenn_4;Huge Thenn Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_nightrunners_1;Light Nightrunners Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_nightrunners_2;Nightrunners Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_nightrunners_3;Large Nightrunners Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_nightrunners_4;Huge Nightrunners Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_ice_rivermen_1;Light Ice Rivermen Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_ice_rivermen_2;Ice Rivermen Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_ice_rivermen_3;Large Ice Rivermen Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_ice_rivermen_4;Huge Ice Rivermen Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_dumhic_1;Light Dumhic Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_dumhic_2;Dumhic Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_dumhic_3;Large Dumhic Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_dumhic_4;Huge Dumhic Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_hornfoots_1;Light Hornfoots Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_hornfoots_2;Hornfoots Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_hornfoots_3;Large Hornfoots Levy;;;;;;;;;;;;;;x,,,,,,
tb_culture_hornfoots_4;Huge Hornfoots Levy;;;;;;;;;;;;;;x,,,,,,
ca_the_arbor;The Arbor;;;;;;;;;;;;;;x,,,,,,
ca_the_arbor_desc;The Arbor is a golden island off the southwestern most part of Westeros, ruled by House Redwyne. It is considered part of the Reach, and is seperated from the mainland by the Redwyne Straits. It is protected by the Redwyne Fleet, the largest fleet of the Seven Kingdoms. The Arbor is known for making the best wine in Westeros, especially a terrific red one and a gold wine. Wine from the Arbor is usually sweeter than wine from Dorne. Gylbert of the Vines, the legendary founder of House Redwyne, is said to have taught the Arbor's people to make wine.;;;;;;;;;;;;;
ca_duskendale;Duskendale;;;;;;;;;;;;;;x,,,,,,
ca_oldstones;Oldstones;;;;;;;;;;;;;;x,,,,,,
ca_gates_of_the_moon;The Gates of The Moon;;;;;;;;;;;;;;x,,,,,,
ca_runestone;Runestone;;;;;;;;;;;;;;x,,,,,,
ca_sisterman_keep;Sisterman Keep;;;;;;;;;;;;;;x,,,,,,
ca_bloody_gate;The Bloody Gate;;;;;;;;;;;;;;x,,,,,,
ca_gulltown;Gulltown;;;;;;;;;;;;;;x,,,,,,
ca_hearthome;Heart's Home;;;;;;;;;;;;;;x,,,,,,
ca_dun_fort;The Dun Fort;;;;;;;;;;;;;;x,,,,,,
ca_highgarden;Highgarden;;;;;;;;;;;;;;x,,,,,,
ca_craggon_keep;Craggon Keep;;;;;;;;;;;;;;x,,,,,,
ca_raventree_hall;Raventree Hall;;;;;;;;;;;;;;x,,,,,,
ca_stone_hedge;Stone Hedge;;;;;;;;;;;;;;x,,,,,,
ca_seagard;Seagard;;;;;;;;;;;;;;x,,,,,,
ca_maidenpool;Maiden's Keep;;;;;;;;;;;;;;x,,,,,,
ca_viceroy_palace;The Viceroy's Palace;;;;;;;;;;;;;;x,,,,,,
ca_sunspear;Sunspear;;;;;;;;;;;;;;x,,,,,,
ca_pyke;Pyke;;;;;;;;;;;;;;x,,,,,,
