tb_cattle;Cattle Pastures;;;;;;;;;;;;x
tb_sheep_1;Sheep Pastures;;;;;;;;;;;;x
tb_goat;Goat Pastures;;;;;;;;;;;;x
tb_swine_pen;Swine Pen;;;;;;;;;;;;x
tb_hunters_camp;Hunters Lodge;;;;;;;;;;;;x
tb_lumberyard;Lumber Yard;;;;;;;;;;;;x
tb_dartmoor_mines;Tin Mines;;;;;;;;;;;;x
tb_gold_mines;Gold Mines;;;;;;;;;;;;x
tb_copper_mines;Copper Mines;;;;;;;;;;;;x
tb_lead_mines;Lead Mines;;;;;;;;;;;;x
tb_iron_mines;Iron Mines;;;;;;;;;;;;x
tb_vineyard_1;Vineyard;;;;;;;;;;;;x
tb_shipyard_norse_1;Shipbuilder;;;;;;;;;;;;x
tb_shipyard_norse_2;Shipbuilder;;;;;;;;;;;;x
tb_shipyard_norse_3;Shipbuilder;;;;;;;;;;;;x
tb_caer_1;British Stronghold;;;;;;;;;;;;x
tb_caer_2;British Stronghold;;;;;;;;;;;;x
tb_caer_3;British Stronghold;;;;;;;;;;;;x
tb_caer_4;British Stronghold;;;;;;;;;;;;x
tb_caer_5;British Stronghold;;;;;;;;;;;;x
tb_briton_war_hall_1;British Tesserarion;;;;;;;;;;;;x
tb_briton_war_hall_2;British Tesserarion;;;;;;;;;;;;x
tb_basque_war_hall_1;Vasconian Fortress;;;;;;;;;;;x
tb_alan_cavalry_1;Alan Cavalry Lists;;;;;;;;;;;x
tb_alan_cavalry_2;Noble Alan Cavalry Lists;;;;;;;;;;;x
tb_hill_of_tara;Hill of Tara;;;;;;;;;;;x
tb_hill_of_tara_desc; ;;;;;;;;;;;x
tb_rock_of_cashel;Rock of Cashel;;;;;;;;;;;x
tb_rock_of_cashel_desc; ;;;;;;;;;;;x
