andal - 1/10 Fuedal, 1/10 City, 1/10 Tribal
wendmen - 0/10 Fuedal, 0/10 City, 0/10 Tribal
westerlander - 0/10 Fuedal, 0/10 City, 0/10 Tribal
westermen - 0/10 Fuedal, 0/10 City, 0/10 Tribal
wildling - 0/10 Fuedal, 0/10 City, 0/10 Tribal
wrathlander - 0/10 Fuedal, 0/10 City, 0/10 Tribal
wrathman - 0/10 Fuedal, 0/10 City, 0/10 Tribal
wynelander - 0/10 Fuedal, 0/10 City, 0/10 Tribal
wynemen - 0/10 Fuedal, 0/10 City, 0/10 Tribal

Notes:

Make sure every level gives you 250 troops. Knights need halved, due to their strength.
