
# Local Watch -> City Watch

# Primitive Local Watch		|	ct_core_level_2		|	Small <culture> Village
# Local Watch				|	ct_core_level_3		|	<culture> Village
# Primitive Town Watch		|	ct_core_level_4		|	Small <culture> Town
# Town Watch				|	ct_core_level_5		|	<culture> Town
# Established Town Watch	|	ct_core_level_6		|	Large <culture> Town
# Primitive City Watch		|	ct_core_level_7		|	Small <culture> City
# City Watch				|	ct_core_level_8		|	<culture> City
# Established City Watch	|	ct_core_level_9		|	Large <culture> City
# Huge City Watch			|	ct_core_level_10	|	Sprawling <culture> City

# City Barracks

# Small City Garrison
# Average City Garrison
# Sizeable City Garrison
# Huge City Garrison

city = {
	
	##############
	# City Watch # 
	##############
	##############
	ct_watch_1 = {
		prerequisites = { ct_core_level_8 }
		
		ai_creation_factor = 72
		
		upgrades_from = ct_watch_6
		
		gold_cost = 198
		build_time = 325
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	ct_watch_8 = {
		desc = ct_watch_8_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_9 }
		
		ai_creation_factor = 71
		
		upgrades_from = ct_watch_7
		
		gold_cost = 227
		build_time = 372
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	ct_watch_9 = {
		desc = ct_watch_9_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_10 }
		
		ai_creation_factor = 70
		
		upgrades_from = ct_watch_8
		
		gold_cost = 259
		build_time = 424
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	#################
	# City Barracks #
	#################
	#################
	ct_barracks_1 = {
		desc = ct_barracks_1_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_8 }
		
		ai_creation_factor = 78
		
		gold_cost = 75
		build_time = 132
		
		light_infantry = -60
		
		heavy_infantry = 20
		pikemen = 25
		
		garrison_size = 0.01
		
		fort_level = 0.20
		
		retinuesize = 50
	}
	ct_barracks_2 = {
		desc = ct_barracks_2_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_9 }
		
		ai_creation_factor = 77
		
		upgrades_from = ct_barracks_1
		
		gold_cost = 92
		build_time = 160
		
		light_infantry = -60
		
		heavy_infantry = 20
		pikemen = 25
		
		garrison_size = 0.01
		
		fort_level = 0.20
		
		retinuesize = 50
	}
	ct_barracks_3 = {
		desc = ct_barracks_3_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_10 }
		
		ai_creation_factor = 76
		
		upgrades_from = ct_barracks_2
		
		gold_cost = 111
		build_time = 191
		
		light_infantry = -60
		
		heavy_infantry = 20
		pikemen = 25
		
		garrison_size = 0.01
		
		fort_level = 0.20
		
		retinuesize = 50
	}
	ct_barracks_4 = {
		desc = ct_barracks_4_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_11 }
		
		ai_creation_factor = 75
		
		upgrades_from = ct_barracks_3
		
		gold_cost = 132
		build_time = 225
		
		light_infantry = -60
		
		heavy_infantry = 20
		pikemen = 25
		
		garrison_size = 0.02
		
		fort_level = 0.20
		
		retinuesize = 50
	}
}
